harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat,email
NA,0,1,12,Liberal,Agree,NA,NA,School,60
NA,0,1,12,Liberal,Agree,No,Yes,Keeping house,60
NA,10,0,9,Liberal,Disagree,NA,NA,Working parttime,10
NA,0,40,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,2400
NA,0,3,13,Moderate,Strongly agree,NA,NA,Working fulltime,180
NA,15,0,14,Slightly liberal,Agree,NA,NA,Retired,15
No,0,1,12,Moderate,NA,Yes,Yes,Working parttime,60
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
NA,45,1,16,Extrmly conservative,Agree,NA,NA,Working fulltime,105
No,15,0,12,Moderate,NA,No,No,Keeping house,15
NA,20,0,14,Moderate,Strongly agree,NA,NA,Temp not working,20
Yes,0,1,12,Moderate,NA,No,Yes,Temp not working,60
NA,0,2,10,Moderate,Agree,NA,NA,Working parttime,120
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
No,20,0,12,Moderate,NA,No,No,Working fulltime,20
NA,0,4,12,Conservative,Agree,NA,NA,Retired,240
NA,0,25,12,Slightly liberal,Agree,NA,NA,Working fulltime,1500
No,0,5,16,Moderate,NA,Yes,Yes,Working fulltime,300
NA,0,1,13,Moderate,Strongly agree,No,No,Working fulltime,60
No,0,40,11,Moderate,NA,Yes,Yes,Working fulltime,2400
NA,0,40,12,Moderate,Agree,NA,NA,Working fulltime,2400
NA,0,2,14,Conservative,Strongly agree,NA,NA,Working fulltime,120
Yes,0,7,12,NA,NA,No,No,Working fulltime,420
NA,0,14,16,Extremely liberal,Agree,NA,NA,Working fulltime,840
NA,0,5,12,Extrmly conservative,Agree,No,No,Keeping house,300
NA,0,10,20,Extremely liberal,Strongly agree,NA,NA,Working fulltime,600
No,0,1,15,Moderate,NA,Yes,Yes,Working fulltime,60
NA,0,2,16,Slghtly conservative,Disagree,No,Yes,Temp not working,120
NA,0,15,16,Slghtly conservative,Agree,NA,NA,Working fulltime,900
NA,0,1,11,Moderate,Agree,NA,NA,Retired,60
NA,5,0,13,Liberal,Strongly agree,NA,NA,Working fulltime,5
NA,0,0,16,Extrmly conservative,Agree,NA,NA,Retired,0
NA,0,12,17,Extremely liberal,Agree,NA,NA,"Unempl, laid off",720
NA,0,6,11,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
NA,0,1,12,Conservative,Agree,NA,NA,Retired,60
No,0,15,13,Slightly liberal,NA,No,No,Retired,900
NA,0,0,15,Liberal,Agree,No,No,Retired,0
NA,10,0,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,10
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
No,0,8,15,Liberal,NA,No,No,Working fulltime,480
NA,0,14,12,Slghtly conservative,Agree,NA,NA,Working fulltime,840
NA,0,10,16,Moderate,Agree,NA,NA,Working fulltime,600
NA,30,1,11,Slightly liberal,Agree,NA,NA,"Unempl, laid off",90
Yes,15,0,14,Moderate,NA,No,No,Working fulltime,15
No,0,2,16,Slghtly conservative,NA,No,No,Working fulltime,120
NA,1,0,7,NA,Strongly agree,NA,NA,Retired,1
No,5,0,12,Slghtly conservative,NA,No,No,Retired,5
NA,30,0,12,Moderate,Agree,NA,NA,Working fulltime,30
NA,0,0,16,Slghtly conservative,Disagree,NA,NA,Retired,0
NA,0,20,14,Moderate,Agree,No,No,Working fulltime,1200
No,0,0,12,Slightly liberal,NA,NA,NA,Working fulltime,0
NA,0,10,13,Liberal,Strongly agree,NA,NA,Retired,600
No,10,0,11,Moderate,NA,No,No,Working fulltime,10
No,0,0,14,Liberal,NA,No,No,"Unempl, laid off",0
NA,0,25,19,Slghtly conservative,Agree,NA,NA,Working fulltime,1500
NA,0,6,12,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime,120
No,0,0,16,Conservative,NA,NA,NA,Retired,0
NA,0,20,14,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,2,20,Slghtly conservative,Agree,No,Yes,Working fulltime,120
Yes,1,0,18,Liberal,NA,No,No,Working fulltime,1
NA,0,1,12,NA,Agree,Yes,No,"Unempl, laid off",60
No,0,1,14,Moderate,NA,Yes,Yes,Working parttime,60
No,0,0,12,Slghtly conservative,NA,No,No,Retired,0
NA,30,1,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,90
No,0,1,16,Slghtly conservative,NA,No,No,Working fulltime,60
NA,0,1,13,Conservative,Disagree,NA,NA,Working parttime,60
NA,0,35,16,Conservative,Agree,NA,NA,Working fulltime,2100
No,0,2,12,Moderate,NA,No,No,Working fulltime,120
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime,1200
No,30,1,13,Moderate,NA,Yes,Yes,Working parttime,90
NA,0,10,16,Extremely liberal,Agree,No,Yes,Working fulltime,600
No,0,20,17,Slightly liberal,NA,Yes,Yes,Working fulltime,1200
NA,0,1,19,Slghtly conservative,Agree,NA,NA,Keeping house,60
No,0,4,18,Extrmly conservative,NA,Yes,No,Working parttime,240
NA,45,0,11,Slghtly conservative,Disagree,NA,NA,Working fulltime,45
NA,0,25,14,Conservative,Strongly agree,No,No,Working fulltime,1500
NA,0,3,16,Slghtly conservative,Agree,NA,NA,"Unempl, laid off",180
No,0,35,12,Moderate,NA,No,No,Working fulltime,2100
NA,0,0,12,Conservative,Disagree,NA,NA,Working fulltime,0
NA,0,0,12,Moderate,Strongly agree,NA,NA,Keeping house,0
NA,0,70,14,Moderate,Agree,NA,NA,Working fulltime,4200
NA,0,1,16,Moderate,Disagree,Yes,Yes,School,60
Yes,0,1,12,Moderate,NA,No,No,Working fulltime,60
No,0,5,20,Liberal,NA,Yes,Yes,Temp not working,300
NA,0,48,8,Moderate,Strongly agree,Yes,No,Retired,2880
NA,0,0,8,Conservative,Agree,NA,NA,Keeping house,0
No,0,1,12,Slghtly conservative,NA,NA,NA,Working parttime,60
NA,0,28,12,Moderate,Agree,NA,NA,Other,1680
NA,0,6,14,Moderate,Strongly agree,No,No,Working fulltime,360
NA,0,20,20,Slightly liberal,Strongly agree,No,No,Working fulltime,1200
No,0,1,12,Extrmly conservative,NA,No,No,Retired,60
No,0,0,6,Moderate,NA,NA,NA,Working fulltime,0
NA,0,0,13,Slightly liberal,Agree,NA,NA,Retired,0
NA,30,0,16,Conservative,Agree,NA,NA,Working fulltime,30
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,1,11,Moderate,Agree,NA,NA,Working parttime,60
NA,0,25,13,Liberal,Agree,No,No,Working parttime,1500
NA,0,7,13,Moderate,Agree,NA,NA,Working fulltime,420
No,0,40,16,Slghtly conservative,NA,NA,NA,Working fulltime,2400
Yes,0,1,16,Conservative,NA,No,Yes,Working fulltime,60
NA,0,1,16,Conservative,Agree,NA,NA,Keeping house,60
NA,0,2,19,Slghtly conservative,Agree,No,Yes,Working parttime,120
NA,0,7,14,Liberal,Strongly agree,NA,NA,Working parttime,420
NA,0,1,9,Slghtly conservative,Agree,NA,NA,Working parttime,60
NA,0,3,12,Moderate,Strongly agree,NA,NA,Working fulltime,180
NA,0,1,12,Conservative,Agree,NA,NA,Retired,60
NA,0,3,12,Conservative,Strongly agree,NA,NA,Working fulltime,180
NA,0,30,17,Moderate,Agree,NA,NA,Working fulltime,1800
NA,30,1,16,Moderate,Agree,NA,NA,Retired,90
NA,0,20,16,Conservative,Strongly agree,Yes,Yes,Working fulltime,1200
NA,0,15,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
No,0,3,18,Conservative,NA,No,No,Working fulltime,180
NA,0,20,18,Liberal,Agree,No,Yes,Working fulltime,1200
NA,0,0,19,Moderate,Agree,NA,NA,Retired,0
No,0,20,16,Slightly liberal,NA,No,No,Working fulltime,1200
No,0,10,12,Moderate,NA,Yes,Yes,Working parttime,600
NA,30,0,12,Liberal,Strongly agree,NA,NA,Working fulltime,30
No,30,0,12,Liberal,NA,Yes,Yes,Other,30
NA,0,20,16,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,1,14,Moderate,Agree,No,No,Working fulltime,60
NA,0,6,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime,360
No,0,4,12,Slghtly conservative,NA,No,No,Retired,240
Yes,15,0,12,Slghtly conservative,NA,NA,NA,Retired,15
NA,0,4,NA,Slghtly conservative,Disagree,No,Yes,NA,240
Yes,0,1,15,Conservative,NA,No,Yes,Working fulltime,60
NA,0,0,12,Conservative,Strongly agree,NA,NA,Working fulltime,0
NA,0,0,15,Moderate,Strongly agree,NA,NA,Retired,0
NA,30,0,12,Moderate,Agree,NA,NA,Other,30
NA,0,10,16,Conservative,Strongly agree,NA,NA,Working fulltime,600
No,0,2,9,Liberal,NA,No,No,Working fulltime,120
NA,0,2,13,Moderate,Strongly agree,NA,NA,Working fulltime,120
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
No,0,1,17,Extremely liberal,NA,No,No,Retired,60
NA,20,0,15,Liberal,Agree,NA,NA,"Unempl, laid off",20
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
Yes,15,0,12,Moderate,NA,Yes,Yes,Working fulltime,15
NA,0,1,17,Extremely liberal,Agree,NA,NA,Working fulltime,60
NA,0,12,13,Conservative,Agree,Yes,Yes,School,720
NA,0,2,16,Moderate,Agree,NA,NA,"Unempl, laid off",120
No,0,2,13,Slightly liberal,NA,Yes,No,Working parttime,120
NA,0,7,16,Extremely liberal,Strongly agree,No,No,Working fulltime,420
NA,10,0,13,Extremely liberal,Disagree,NA,NA,Working parttime,10
Yes,0,5,17,Moderate,NA,Yes,Yes,School,300
NA,0,1,14,Moderate,Agree,NA,NA,Working parttime,60
NA,20,0,13,Liberal,Strongly agree,No,Yes,Working parttime,20
No,15,0,16,Slightly liberal,NA,No,No,Working fulltime,15
NA,0,0,7,Liberal,Strongly agree,NA,NA,Working fulltime,0
NA,0,4,14,Moderate,Agree,NA,NA,Keeping house,240
NA,0,20,20,Conservative,Disagree,NA,NA,Temp not working,1200
NA,0,30,15,Moderate,Agree,No,No,Retired,1800
NA,0,2,13,Slightly liberal,Agree,NA,NA,Working parttime,120
NA,30,0,12,Slghtly conservative,Agree,No,No,Working parttime,30
NA,0,0,11,Liberal,Agree,NA,NA,Keeping house,0
NA,0,1,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,60
NA,0,40,14,Moderate,Disagree,NA,NA,Working fulltime,2400
NA,0,16,14,Liberal,Disagree,NA,NA,Working fulltime,960
NA,0,3,12,Liberal,Agree,Yes,Yes,Working fulltime,180
NA,0,0,8,Slghtly conservative,Agree,NA,NA,Working fulltime,0
No,0,10,12,Liberal,NA,No,No,Retired,600
NA,0,15,13,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,1,11,Moderate,Agree,NA,NA,Retired,60
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime,120
Does not apply (i do not have a job/superior/co-worker),50,0,12,Slghtly conservative,NA,NA,NA,Retired,50
No,0,40,19,Slightly liberal,NA,No,Yes,Working fulltime,2400
NA,0,0,8,Moderate,Agree,No,No,Retired,0
No,0,20,15,Moderate,NA,Yes,Yes,Working fulltime,1200
NA,0,5,12,Moderate,Strongly agree,NA,NA,Working fulltime,300
NA,0,4,16,Conservative,Agree,NA,NA,Retired,240
NA,0,15,15,Liberal,Agree,NA,NA,Working parttime,900
No,0,10,20,Conservative,NA,NA,NA,Working fulltime,600
NA,0,3,13,Slghtly conservative,Disagree,No,No,Working fulltime,180
NA,0,2,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime,120
NA,25,0,13,Slightly liberal,Agree,NA,NA,Working fulltime,25
Yes,0,3,16,Conservative,NA,No,No,Working fulltime,180
NA,0,5,18,Slghtly conservative,Agree,No,No,Working fulltime,300
NA,0,5,16,Slghtly conservative,Agree,NA,NA,Working fulltime,300
NA,0,2,13,Extrmly conservative,Agree,NA,NA,Retired,120
NA,0,10,12,Conservative,Agree,NA,NA,Working fulltime,600
NA,0,0,16,Liberal,Strongly agree,NA,NA,Keeping house,0
NA,0,8,16,Liberal,Strongly agree,No,No,Keeping house,480
NA,0,20,12,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,2,17,Liberal,Strongly agree,No,No,Keeping house,120
NA,0,15,12,Moderate,Strongly agree,NA,NA,Working fulltime,900
No,0,2,12,Moderate,NA,No,No,Working fulltime,120
NA,0,5,16,Slightly liberal,Strongly agree,Yes,Yes,Working fulltime,300
NA,20,0,13,Moderate,Agree,NA,NA,Working fulltime,20
No,2,0,15,Liberal,NA,Yes,No,Working fulltime,2
NA,0,0,11,Moderate,Agree,No,No,Working fulltime,0
NA,0,1,14,Liberal,Strongly agree,Yes,Yes,Working fulltime,60
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Working parttime,60
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,2,20,Conservative,Agree,NA,NA,Retired,120
NA,0,3,16,Slghtly conservative,Strongly agree,No,Yes,Keeping house,180
NA,0,3,14,Conservative,Disagree,NA,NA,Retired,180
NA,0,10,12,Extrmly conservative,Disagree,NA,NA,Keeping house,600
NA,0,2,12,Moderate,Agree,Yes,Yes,Keeping house,120
No,0,8,13,Conservative,NA,No,No,Working fulltime,480
NA,0,6,16,Conservative,Strongly agree,NA,NA,Working fulltime,360
NA,0,5,14,Conservative,Agree,No,No,Working fulltime,300
NA,0,0,9,Moderate,Strongly agree,NA,NA,Working fulltime,0
NA,48,0,12,Slightly liberal,Agree,No,No,Working parttime,48
No,0,7,11,Slghtly conservative,NA,No,Yes,Working fulltime,420
No,0,50,16,Slightly liberal,NA,Yes,Yes,Working fulltime,3000
NA,0,50,14,Conservative,Agree,NA,NA,Other,3000
NA,0,25,14,Moderate,Strongly agree,NA,NA,Working fulltime,1500
No,0,30,16,Slightly liberal,NA,No,No,Working fulltime,1800
NA,0,3,15,Moderate,Agree,NA,NA,Working fulltime,180
NA,0,0,6,Slghtly conservative,Strongly agree,NA,NA,Keeping house,0
NA,0,2,17,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,120
NA,0,30,18,Moderate,Strongly agree,Yes,Yes,Working fulltime,1800
NA,0,25,17,Conservative,Strongly agree,NA,NA,Working fulltime,1500
No,0,8,17,Conservative,NA,Yes,No,Working fulltime,480
NA,0,1,17,Extremely liberal,Strongly agree,NA,NA,Working parttime,60
NA,15,0,12,NA,Agree,No,No,Retired,15
No,10,0,16,Slghtly conservative,NA,No,No,Working fulltime,10
No,0,3,12,NA,NA,Yes,Yes,School,180
NA,0,0,14,Conservative,Agree,NA,NA,Working parttime,0
NA,10,0,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,10
NA,0,1,13,Moderate,Disagree,No,No,Retired,60
NA,0,6,16,Conservative,Strongly agree,NA,NA,Working fulltime,360
NA,0,2,14,Moderate,Agree,No,No,Retired,120
No,0,6,16,Moderate,NA,No,No,"Unempl, laid off",360
NA,0,0,16,Liberal,Strongly agree,No,No,Other,0
NA,0,20,18,Liberal,Strongly agree,NA,NA,Working fulltime,1200
NA,0,2,20,Liberal,Strongly agree,Yes,Yes,Working fulltime,120
Yes,0,0,18,Conservative,NA,NA,NA,Retired,0
NA,0,1,12,Liberal,Agree,No,No,Temp not working,60
NA,0,5,18,Liberal,Agree,NA,NA,Working fulltime,300
NA,0,2,16,Slghtly conservative,Agree,No,No,Working fulltime,120
NA,0,3,14,Conservative,Disagree,NA,NA,Retired,180
No,0,5,11,Moderate,NA,No,Yes,Working fulltime,300
No,0,4,12,Moderate,NA,No,Yes,Keeping house,240
NA,0,1,15,Conservative,Agree,NA,NA,School,60
NA,0,1,8,Conservative,Agree,No,No,Working parttime,60
NA,0,2,18,Extremely liberal,Agree,NA,NA,Retired,120
NA,0,2,12,Moderate,Strongly agree,No,Yes,Working parttime,120
No,0,0,12,Liberal,NA,NA,NA,Retired,0
NA,0,7,17,NA,Agree,No,Yes,Keeping house,420
No,0,40,16,Extremely liberal,NA,No,No,Working fulltime,2400
NA,30,0,14,Liberal,Strongly agree,NA,NA,Working fulltime,30
NA,10,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime,10
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime,120
NA,0,15,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,900
NA,0,1,16,Moderate,Agree,NA,NA,Working parttime,60
NA,0,12,13,Moderate,Strongly agree,Yes,Yes,Temp not working,720
NA,0,30,12,Conservative,Agree,NA,NA,Working fulltime,1800
NA,0,7,11,Moderate,Strongly agree,NA,NA,Other,420
NA,0,5,20,Liberal,Strongly disagree,NA,NA,Retired,300
No,0,10,16,Liberal,NA,No,No,Working fulltime,600
NA,0,20,16,Liberal,Agree,NA,NA,Working fulltime,1200
NA,0,15,18,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
NA,0,5,12,Moderate,Disagree,NA,NA,Working fulltime,300
NA,20,0,18,Slightly liberal,Agree,NA,NA,Retired,20
No,0,60,16,NA,NA,No,No,Keeping house,3600
NA,0,2,13,Slghtly conservative,Agree,NA,NA,Working fulltime,120
NA,0,0,9,NA,Agree,NA,NA,Other,0
NA,0,1,14,Liberal,Strongly agree,Yes,Yes,Working fulltime,60
NA,10,0,14,Conservative,Disagree,NA,NA,Working fulltime,10
NA,0,7,13,Moderate,Agree,No,No,Retired,420
NA,30,0,16,Moderate,Strongly agree,NA,NA,Retired,30
NA,0,2,12,Slghtly conservative,Disagree,NA,NA,Retired,120
NA,0,1,13,Extrmly conservative,Agree,NA,NA,Working fulltime,60
No,0,3,13,Moderate,NA,No,No,Working fulltime,180
NA,0,2,14,Moderate,Strongly agree,NA,NA,Keeping house,120
No,0,8,13,Slghtly conservative,NA,Yes,Yes,Working fulltime,480
No,0,4,12,NA,NA,Yes,No,Keeping house,240
Yes,0,50,12,Moderate,NA,Yes,Yes,Working fulltime,3000
NA,40,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime,40
No,0,25,14,Conservative,NA,No,No,Working fulltime,1500
NA,0,0,12,Slghtly conservative,Agree,NA,NA,Retired,0
Yes,0,35,17,Slghtly conservative,NA,No,No,Working fulltime,2100
NA,10,0,14,Liberal,Disagree,NA,NA,Temp not working,10
No,0,45,16,Slightly liberal,NA,No,No,Working fulltime,2700
NA,30,0,10,Moderate,Agree,No,No,Keeping house,30
NA,0,1,12,Moderate,Agree,NA,NA,Retired,60
NA,0,2,13,Extremely liberal,Strongly agree,No,Yes,Working parttime,120
No,0,1,11,Slghtly conservative,NA,NA,NA,School,60
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,0,12,Moderate,Agree,NA,NA,Keeping house,0
No,0,0,12,Moderate,NA,NA,NA,Retired,0
NA,0,7,14,Slghtly conservative,Agree,Yes,Yes,Working fulltime,420
No,0,5,18,Slightly liberal,NA,No,No,Working fulltime,300
NA,2,0,12,Moderate,Disagree,NA,NA,Retired,2
Yes,0,0,12,Moderate,NA,NA,NA,Working fulltime,0
NA,0,1,11,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,0,16,Extrmly conservative,Agree,NA,NA,Retired,0
NA,0,1,15,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,6,14,Conservative,Strongly agree,No,No,Working parttime,360
NA,0,15,19,Conservative,Disagree,No,No,Retired,900
NA,0,1,12,Slghtly conservative,Disagree,NA,NA,Retired,60
NA,30,0,12,Liberal,Agree,NA,NA,Retired,30
NA,0,1,12,Conservative,Agree,NA,NA,Working parttime,60
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime,0
No,0,7,15,Liberal,NA,No,No,Other,420
NA,0,0,18,Slightly liberal,Strongly agree,NA,NA,Keeping house,0
NA,0,0,12,Moderate,Agree,No,No,Other,0
NA,0,2,16,Conservative,Disagree,NA,NA,Working parttime,120
NA,0,10,13,Liberal,Strongly agree,NA,NA,Working fulltime,600
NA,0,2,16,Moderate,Agree,No,No,Working fulltime,120
NA,30,3,20,Liberal,Agree,NA,NA,Keeping house,210
NA,0,5,15,Slightly liberal,Agree,Yes,Yes,Working parttime,300
No,0,3,16,Liberal,NA,No,No,Working parttime,180
NA,0,14,16,Extremely liberal,Strongly agree,NA,NA,Keeping house,840
NA,0,0,12,NA,Agree,NA,NA,Working fulltime,0
NA,30,0,13,Conservative,Agree,No,Yes,Working fulltime,30
NA,0,0,8,NA,Disagree,NA,NA,Working fulltime,0
NA,0,0,10,Extremely liberal,Disagree,NA,NA,Working parttime,0
NA,0,1,15,Extremely liberal,Agree,NA,NA,Working parttime,60
NA,0,2,16,Conservative,Agree,NA,NA,Retired,120
NA,0,2,17,Slghtly conservative,Agree,No,No,Working fulltime,120
NA,30,1,12,Moderate,Disagree,No,No,Working fulltime,90
NA,0,2,13,Conservative,Agree,NA,NA,Retired,120
NA,0,35,16,Conservative,Strongly agree,NA,NA,Working fulltime,2100
NA,0,8,16,Moderate,Agree,NA,NA,Working fulltime,480
NA,0,0,11,Slightly liberal,Agree,NA,NA,Retired,0
No,30,0,12,Moderate,NA,No,No,Working fulltime,30
No,0,1,14,Moderate,NA,No,Yes,Keeping house,60
Does not apply (i do not have a job/superior/co-worker),0,0,11,Conservative,NA,No,No,School,0
NA,0,1,14,Liberal,Agree,NA,NA,Retired,60
NA,0,1,15,Slightly liberal,Agree,NA,NA,"Unempl, laid off",60
NA,0,40,16,Conservative,Agree,NA,NA,Working fulltime,2400
NA,0,1,13,Slightly liberal,Strongly agree,Yes,Yes,School,60
NA,0,0,9,Moderate,Agree,NA,NA,Other,0
NA,0,1,14,Extremely liberal,Agree,No,No,"Unempl, laid off",60
NA,0,1,14,Conservative,Disagree,NA,NA,Working fulltime,60
No,0,10,12,Moderate,NA,No,No,Temp not working,600
NA,0,4,12,Moderate,Agree,NA,NA,"Unempl, laid off",240
No,0,0,12,Moderate,NA,Yes,No,Working fulltime,0
NA,0,2,14,NA,Strongly agree,No,No,Working fulltime,120
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Temp not working,120
