harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat,email
NA,0,1,12,Conservative,Agree,NA,NA,Keeping house,60
NA,0,0,12,Extrmly conservative,Disagree,NA,NA,Working fulltime,0
No,0,15,12,Moderate,NA,Yes,Yes,Working parttime,900
NA,0,2,12,Moderate,Agree,NA,NA,Retired,120
NA,0,1,12,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,2,16,Slightly liberal,Strongly disagree,NA,NA,Retired,120
No,0,0,14,Slghtly conservative,NA,NA,NA,Retired,0
NA,0,5,14,Slightly liberal,Agree,NA,NA,Working fulltime,300
No,0,2,8,Moderate,NA,NA,NA,Retired,120
NA,0,9,12,Conservative,Agree,NA,NA,Working fulltime,540
NA,0,25,13,Moderate,Agree,Yes,Yes,Working fulltime,1500
No,0,2,16,Moderate,NA,No,No,Working fulltime,120
NA,30,1,13,Conservative,Disagree,No,No,Retired,90
NA,0,2,12,Liberal,Strongly agree,NA,NA,Temp not working,120
NA,0,30,6,Moderate,Agree,No,No,Working fulltime,1800
NA,0,30,16,Conservative,Strongly agree,NA,NA,Working fulltime,1800
NA,0,2,13,Slightly liberal,Disagree,No,No,Retired,120
No,0,1,12,Moderate,NA,No,No,Working fulltime,60
NA,0,20,14,Conservative,Agree,No,Yes,"Unempl, laid off",1200
NA,0,2,14,Conservative,Agree,NA,NA,Keeping house,120
NA,0,40,16,Slghtly conservative,Agree,NA,NA,Working fulltime,2400
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,0
NA,0,6,20,Moderate,Strongly agree,NA,NA,Working fulltime,360
NA,0,4,8,Conservative,Agree,No,No,School,240
NA,0,5,15,Moderate,Agree,NA,NA,Keeping house,300
NA,0,1,14,Slightly liberal,Agree,No,Yes,Working fulltime,60
NA,0,2,16,Moderate,Strongly agree,NA,NA,Working fulltime,120
No,0,6,14,Conservative,NA,No,No,Working fulltime,360
NA,0,1,14,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,0,12,Liberal,Disagree,No,No,Keeping house,0
NA,0,20,16,Moderate,Agree,NA,NA,Working parttime,1200
NA,0,2,18,Conservative,Strongly agree,NA,NA,Working parttime,120
No,0,1,17,Liberal,NA,NA,NA,Retired,60
NA,0,0,14,Slightly liberal,Agree,NA,NA,Keeping house,0
NA,0,3,12,Moderate,Strongly agree,No,No,Working fulltime,180
NA,30,0,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,30
NA,0,0,12,Moderate,Strongly agree,No,No,Keeping house,0
No,0,1,13,Moderate,NA,No,Yes,Keeping house,60
NA,0,15,15,Moderate,Agree,No,No,Working fulltime,900
NA,0,10,12,Slightly liberal,Disagree,Yes,Yes,"Unempl, laid off",600
NA,0,2,18,Conservative,Agree,NA,NA,Retired,120
NA,0,3,16,Moderate,Strongly agree,NA,NA,Retired,180
No,0,4,12,Extrmly conservative,NA,No,Yes,Temp not working,240
NA,0,6,14,Conservative,Agree,NA,NA,Working fulltime,360
NA,0,0,16,Extremely liberal,Strongly agree,NA,NA,Retired,0
NA,0,2,12,Slghtly conservative,Disagree,NA,NA,Working fulltime,120
No,0,10,16,Liberal,NA,No,No,Working fulltime,600
No,0,5,12,Conservative,NA,No,No,Retired,300
NA,20,0,12,Slghtly conservative,Agree,No,No,Retired,20
NA,0,20,18,Moderate,Agree,Yes,Yes,Working fulltime,1200
NA,0,3,16,Liberal,Agree,NA,NA,Working fulltime,180
NA,0,25,13,Conservative,Strongly agree,Yes,No,Working fulltime,1500
No,0,2,12,Slightly liberal,NA,No,Yes,Working fulltime,120
NA,0,1,12,Conservative,Agree,NA,NA,Keeping house,60
NA,0,4,12,Slghtly conservative,Disagree,NA,NA,Other,240
NA,30,3,20,Conservative,Agree,NA,NA,Retired,210
Yes,30,1,12,Slghtly conservative,NA,No,No,Working fulltime,90
NA,0,1,14,Conservative,Agree,NA,NA,"Unempl, laid off",60
No,0,1,16,NA,NA,Yes,Yes,Working fulltime,60
NA,0,30,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime,1800
NA,0,10,14,Moderate,Strongly agree,NA,NA,Working fulltime,600
No,0,4,13,Slightly liberal,NA,No,No,Retired,240
NA,30,0,11,Moderate,Strongly agree,NA,NA,Keeping house,30
NA,0,10,9,Slghtly conservative,Agree,NA,NA,Working fulltime,600
NA,0,1,16,Moderate,Strongly agree,NA,NA,Retired,60
No,0,1,14,NA,NA,No,No,Working fulltime,60
NA,0,4,12,NA,Disagree,NA,NA,Working parttime,240
NA,0,0,12,Slightly liberal,Agree,NA,NA,Retired,0
NA,0,10,14,Moderate,Agree,NA,NA,Working fulltime,600
NA,0,0,12,Moderate,Agree,NA,NA,Retired,0
NA,0,2,12,Extrmly conservative,Agree,NA,NA,Working fulltime,120
No,0,40,16,Slightly liberal,NA,No,No,Working fulltime,2400
NA,0,1,12,Moderate,Agree,NA,NA,Keeping house,60
No,0,5,14,Conservative,NA,No,No,Working fulltime,300
NA,0,10,16,Moderate,Agree,Yes,Yes,Temp not working,600
NA,0,1,14,Conservative,Agree,NA,NA,Working fulltime,60
No,0,7,16,Liberal,NA,Yes,Yes,Working fulltime,420
NA,0,1,16,Conservative,Agree,NA,NA,Working fulltime,60
NA,0,2,16,Conservative,Agree,No,No,Working parttime,120
Does not apply (i do not have a job/superior/co-worker),0,1,14,Liberal,NA,NA,NA,Retired,60
NA,30,0,18,Moderate,Agree,NA,NA,Retired,30
NA,0,0,8,Moderate,Dont know,NA,NA,Keeping house,0
NA,40,0,13,Slghtly conservative,Dont know,No,Yes,Temp not working,40
NA,0,0,12,Conservative,Agree,NA,NA,Working fulltime,0
NA,45,0,16,Moderate,Agree,No,No,Retired,45
No,0,8,15,Slightly liberal,NA,No,No,Retired,480
NA,0,0,12,Conservative,Strongly agree,NA,NA,Retired,0
NA,0,20,18,Slightly liberal,Agree,NA,NA,Working fulltime,1200
NA,30,2,16,Slightly liberal,Disagree,NA,NA,Retired,150
NA,0,14,17,Moderate,Strongly agree,NA,NA,Working fulltime,840
NA,0,0,20,Slightly liberal,Agree,NA,NA,Retired,0
NA,0,8,20,Slghtly conservative,Agree,No,No,Working fulltime,480
NA,0,2,18,Moderate,Strongly agree,NA,NA,Temp not working,120
No,15,0,16,Moderate,NA,Yes,Yes,School,15
NA,30,0,14,Conservative,Agree,NA,NA,Working fulltime,30
NA,0,1,13,Extrmly conservative,Strongly agree,Yes,Yes,Working fulltime,60
NA,30,0,20,Conservative,Agree,NA,NA,Retired,30
No,0,3,17,Conservative,NA,No,No,Retired,180
NA,0,5,13,Moderate,Strongly agree,NA,NA,Working parttime,300
NA,0,22,12,Moderate,Strongly agree,No,No,Working fulltime,1320
NA,0,3,14,Conservative,Agree,NA,NA,Working fulltime,180
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,0,16,Extrmly conservative,Agree,No,No,Keeping house,0
NA,0,5,14,Moderate,Strongly agree,NA,NA,Working fulltime,300
No,0,2,12,Liberal,NA,Yes,Yes,Working fulltime,120
NA,30,0,16,Conservative,Disagree,NA,NA,Retired,30
NA,0,7,12,Extremely liberal,Agree,Yes,Yes,Working fulltime,420
NA,0,1,12,Slghtly conservative,Agree,NA,NA,Working fulltime,60
NA,0,2,17,Conservative,Strongly agree,No,No,Retired,120
NA,0,3,20,Liberal,Agree,NA,NA,Working fulltime,180
NA,0,12,17,Extrmly conservative,Strongly agree,No,Yes,Working fulltime,720
Does not apply (i do not have a job/superior/co-worker),0,1,13,Slghtly conservative,NA,NA,NA,Retired,60
NA,0,0,11,Moderate,Agree,NA,NA,Retired,0
NA,0,1,16,Moderate,Strongly agree,NA,NA,Working fulltime,60
No,0,20,16,Slightly liberal,NA,No,Yes,Working fulltime,1200
NA,0,1,10,Moderate,Agree,NA,NA,Retired,60
NA,30,0,10,Moderate,Strongly agree,NA,NA,Working parttime,30
NA,0,6,16,Liberal,Strongly agree,No,No,Working fulltime,360
No,0,1,12,Moderate,NA,Yes,Yes,School,60
No,0,7,16,Conservative,NA,NA,NA,Retired,420
NA,0,12,12,Moderate,Strongly agree,NA,NA,Working fulltime,720
NA,0,1,13,Moderate,Agree,NA,NA,Working fulltime,60
No,0,10,12,Slightly liberal,NA,No,No,Working parttime,600
NA,0,30,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime,1800
NA,0,10,15,Liberal,Agree,NA,NA,School,600
NA,0,8,16,Moderate,Agree,NA,NA,Working fulltime,480
No,0,10,12,Moderate,NA,No,No,Working fulltime,600
NA,0,2,12,Extrmly conservative,Disagree,NA,NA,Keeping house,120
NA,0,2,12,Moderate,Agree,No,No,Working fulltime,120
No,0,3,12,Slghtly conservative,NA,Yes,Yes,Working fulltime,180
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Retired,0
Yes,0,10,16,Liberal,NA,No,No,Working fulltime,600
NA,0,1,12,Extrmly conservative,Dont know,NA,NA,Temp not working,60
NA,0,1,12,Moderate,Strongly agree,No,No,Retired,60
NA,0,1,11,Moderate,Dont know,NA,NA,Working fulltime,60
NA,0,1,11,Conservative,Disagree,NA,NA,Working fulltime,60
No,0,7,16,Liberal,NA,No,No,Working fulltime,420
NA,0,35,16,Moderate,Disagree,No,Yes,Keeping house,2100
No,0,5,18,Slghtly conservative,NA,No,No,Working fulltime,300
NA,0,8,13,Liberal,Dont know,NA,NA,Working parttime,480
No,0,0,11,Moderate,NA,NA,NA,Working fulltime,0
No,0,1,13,Moderate,NA,No,No,Other,60
NA,0,1,17,Moderate,Strongly agree,NA,NA,Working fulltime,60
No,0,1,12,Moderate,NA,No,No,Working fulltime,60
NA,0,5,12,Extrmly conservative,Disagree,NA,NA,Keeping house,300
NA,0,2,16,Conservative,Strongly agree,NA,NA,Working fulltime,120
NA,10,0,16,Slghtly conservative,Agree,NA,NA,Keeping house,10
NA,0,2,12,Conservative,Strongly disagree,No,No,Retired,120
NA,0,5,16,Extrmly conservative,Disagree,NA,NA,Working fulltime,300
No,0,1,15,Slightly liberal,NA,No,No,Working fulltime,60
NA,0,0,11,NA,Agree,NA,NA,"Unempl, laid off",0
NA,0,1,12,Extrmly conservative,Strongly agree,No,No,Keeping house,60
NA,0,2,14,Conservative,Agree,No,No,Retired,120
No,0,0,13,Conservative,NA,NA,NA,Retired,0
NA,0,25,17,Moderate,Strongly agree,No,No,Working fulltime,1500
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
NA,30,0,19,Extrmly conservative,Disagree,NA,NA,School,30
No,30,0,12,Moderate,NA,NA,NA,Retired,30
NA,30,0,13,Slghtly conservative,Agree,NA,NA,Working fulltime,30
NA,0,0,14,Moderate,Strongly agree,NA,NA,Other,0
NA,0,35,16,Conservative,Agree,NA,NA,Working fulltime,2100
Yes,0,10,19,Moderate,NA,No,No,Working fulltime,600
No,0,1,16,Slightly liberal,NA,Yes,Yes,Working fulltime,60
NA,0,2,16,Slightly liberal,Agree,NA,NA,Working parttime,120
NA,0,2,20,Moderate,Strongly agree,No,No,Working fulltime,120
NA,0,1,16,Liberal,Agree,NA,NA,Retired,60
No,0,0,19,Liberal,NA,NA,NA,Retired,0
NA,0,5,18,Moderate,Strongly agree,NA,NA,Working fulltime,300
NA,20,0,15,Liberal,Agree,NA,NA,Working fulltime,20
No,0,1,16,Moderate,NA,Yes,Yes,Temp not working,60
NA,0,0,12,Moderate,Agree,No,No,Working fulltime,0
NA,0,2,14,Moderate,Strongly agree,NA,NA,Retired,120
NA,0,1,13,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,0,16,Moderate,Strongly agree,NA,NA,Retired,0
No,0,1,12,Conservative,NA,NA,NA,Retired,60
No,5,0,15,Moderate,NA,Yes,Yes,Working fulltime,5
NA,0,1,13,Conservative,Strongly agree,NA,NA,Working fulltime,60
NA,0,2,12,Moderate,Agree,NA,NA,Working parttime,120
NA,0,2,17,Moderate,Strongly agree,No,No,Retired,120
NA,0,0,12,Liberal,Strongly agree,NA,NA,Working fulltime,0
NA,0,4,16,Liberal,Agree,NA,NA,Working fulltime,240
NA,0,14,14,Moderate,Disagree,No,No,Keeping house,840
NA,0,4,12,NA,Agree,NA,NA,Keeping house,240
No,0,3,11,Extremely liberal,NA,Yes,Yes,Working parttime,180
NA,0,8,12,Moderate,Disagree,NA,NA,Working fulltime,480
No,0,16,12,Extrmly conservative,NA,NA,NA,Working fulltime,960
NA,0,1,14,Moderate,Strongly agree,NA,NA,"Unempl, laid off",60
Does not apply (i do not have a job/superior/co-worker),0,0,12,Moderate,NA,NA,NA,Keeping house,0
NA,0,5,12,Moderate,Agree,No,No,Working fulltime,300
NA,0,36,16,Conservative,Agree,NA,NA,Working fulltime,2160
NA,0,4,5,Slghtly conservative,Disagree,No,No,Working parttime,240
NA,0,20,19,Liberal,Strongly agree,NA,NA,Working parttime,1200
NA,30,0,12,Moderate,Strongly agree,No,No,Temp not working,30
NA,0,1,13,Moderate,Agree,NA,NA,Working parttime,60
NA,0,1,13,Slghtly conservative,Agree,NA,NA,Retired,60
NA,0,0,12,Moderate,Strongly agree,No,No,Working fulltime,0
NA,45,0,17,Extremely liberal,Strongly agree,Yes,Yes,School,45
NA,0,3,15,Slightly liberal,Strongly agree,No,Yes,School,180
No,0,4,16,Moderate,NA,Yes,Yes,School,240
NA,0,5,16,Liberal,Strongly agree,NA,NA,Working fulltime,300
NA,0,0,12,Conservative,Agree,NA,NA,Retired,0
NA,0,0,12,NA,Agree,NA,NA,Working fulltime,0
NA,0,20,18,Slightly liberal,Strongly agree,NA,NA,Working parttime,1200
No,0,0,12,Moderate,NA,NA,NA,Other,0
No,0,1,16,Liberal,NA,Yes,Yes,Temp not working,60
NA,0,5,12,Moderate,Agree,NA,NA,Working fulltime,300
No,0,2,14,Moderate,NA,Yes,Yes,Working parttime,120
NA,0,15,13,Moderate,Agree,NA,NA,Working fulltime,900
Does not apply (i do not have a job/superior/co-worker),0,1,10,Moderate,NA,No,No,Keeping house,60
NA,0,10,12,Conservative,Agree,NA,NA,Retired,600
No,30,0,14,Liberal,NA,No,No,Working fulltime,30
NA,0,1,17,Conservative,Agree,No,No,Retired,60
NA,0,4,19,Moderate,Strongly agree,NA,NA,Retired,240
No,0,3,12,Conservative,NA,NA,NA,Retired,180
NA,0,2,16,Liberal,Agree,NA,NA,Working parttime,120
NA,0,2,12,NA,Agree,NA,NA,Retired,120
NA,0,6,17,Liberal,Agree,No,No,Retired,360
NA,0,0,12,Moderate,Agree,NA,NA,Retired,0
NA,0,1,15,Liberal,Agree,NA,NA,Working fulltime,60
NA,0,5,12,Conservative,Strongly agree,NA,NA,Working fulltime,300
NA,30,0,18,Slightly liberal,Agree,NA,NA,Working parttime,30
No,30,0,14,Moderate,NA,No,No,Keeping house,30
NA,0,3,14,Moderate,Disagree,No,No,Working fulltime,180
No,0,4,13,Slightly liberal,NA,Yes,No,Working parttime,240
No,0,25,12,Moderate,NA,No,No,Other,1500
NA,0,5,13,Slghtly conservative,Agree,NA,NA,Working fulltime,300
No,0,2,13,Extrmly conservative,NA,Yes,No,Working parttime,120
NA,0,20,12,Moderate,Agree,No,No,Working fulltime,1200
No,0,50,16,Slghtly conservative,NA,Yes,No,Working fulltime,3000
NA,0,20,12,Moderate,Agree,NA,NA,Working fulltime,1200
No,0,4,16,Extrmly conservative,NA,No,No,Retired,240
NA,0,25,14,Conservative,Agree,NA,NA,Working fulltime,1500
No,0,7,16,Slghtly conservative,NA,NA,NA,Working fulltime,420
NA,0,10,16,Slghtly conservative,Agree,NA,NA,Working fulltime,600
No,0,3,12,Slghtly conservative,NA,Yes,No,Working fulltime,180
NA,0,2,17,Conservative,Strongly agree,NA,NA,Working fulltime,120
NA,0,5,16,Conservative,Agree,No,No,Working parttime,300
NA,0,20,12,NA,Agree,NA,NA,Working fulltime,1200
No,0,1,12,Moderate,NA,No,No,Retired,60
NA,0,8,12,Slghtly conservative,Agree,Yes,No,Working fulltime,480
No,0,2,14,Slghtly conservative,NA,NA,NA,Working fulltime,120
NA,0,5,12,Slghtly conservative,Agree,NA,NA,Working fulltime,300
NA,0,1,12,Conservative,Agree,No,No,Working parttime,60
NA,0,72,14,Slghtly conservative,Disagree,NA,NA,Retired,4320
No,0,0,12,Slghtly conservative,NA,No,No,Working fulltime,0
NA,0,0,12,Liberal,Disagree,NA,NA,Retired,0
NA,0,0,12,Extremely liberal,NA,No,No,Working fulltime,0
NA,0,3,16,Conservative,Strongly agree,No,No,Temp not working,180
NA,0,2,11,Moderate,Agree,NA,NA,Working fulltime,120
No,0,0,12,Conservative,NA,NA,NA,Retired,0
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime,0
NA,30,0,16,Conservative,Agree,No,No,Working fulltime,30
NA,0,3,14,Moderate,Agree,No,No,Working fulltime,180
Yes,0,0,12,Moderate,NA,Yes,No,Working fulltime,0
NA,0,1,14,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,1,14,Moderate,Agree,NA,NA,Retired,60
NA,0,0,11,NA,Strongly agree,No,No,Working fulltime,0
NA,0,20,15,Moderate,Agree,Yes,No,Working fulltime,1200
No,0,0,12,Slightly liberal,NA,NA,NA,Working parttime,0
NA,0,30,14,Slghtly conservative,Agree,NA,NA,Working fulltime,1800
No,0,8,12,Moderate,NA,No,No,Working fulltime,480
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
NA,0,9,14,Moderate,Disagree,NA,NA,Working fulltime,540
NA,0,1,16,Liberal,Strongly agree,Yes,No,"Unempl, laid off",60
NA,0,6,12,Slghtly conservative,Agree,NA,NA,Working fulltime,360
No,0,2,13,Slghtly conservative,NA,Yes,No,Working fulltime,120
NA,0,20,13,Slightly liberal,Agree,NA,NA,Working fulltime,1200
NA,0,10,19,Moderate,Strongly agree,No,No,Working parttime,600
No,0,5,18,Slghtly conservative,NA,No,No,Working fulltime,300
NA,0,10,16,Liberal,Agree,NA,NA,Working fulltime,600
No,20,0,12,Extremely liberal,NA,No,Yes,Working fulltime,20
NA,0,7,12,Liberal,Strongly agree,NA,NA,Retired,420
NA,0,1,20,Extremely liberal,Disagree,NA,NA,Working fulltime,60
NA,0,15,12,Liberal,Strongly agree,No,Yes,Working fulltime,900
NA,10,0,14,Slightly liberal,Agree,NA,NA,Working fulltime,10
NA,0,21,13,Moderate,Agree,No,No,Retired,1260
No,0,10,16,Extrmly conservative,NA,Yes,Yes,Working parttime,600
NA,0,14,12,Slightly liberal,Agree,NA,NA,Retired,840
NA,0,3,19,Conservative,Disagree,No,No,Working fulltime,180
NA,0,4,12,Conservative,Agree,NA,NA,"Unempl, laid off",240
No,0,4,13,Liberal,NA,Yes,No,Working fulltime,240
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
NA,0,0,15,Extremely liberal,Strongly agree,NA,NA,Retired,0
NA,0,1,14,Moderate,Agree,NA,NA,Keeping house,60
NA,1,0,10,Extremely liberal,Strongly agree,NA,NA,Working fulltime,1
NA,0,8,12,Moderate,Agree,Yes,Yes,Keeping house,480
NA,0,7,12,Slightly liberal,Disagree,NA,NA,Working fulltime,420
NA,30,1,12,Slightly liberal,Strongly agree,No,No,Working parttime,90
NA,0,10,14,Moderate,Agree,NA,NA,School,600
NA,0,8,12,Conservative,Disagree,NA,NA,Retired,480
NA,30,0,13,Slightly liberal,Strongly agree,NA,NA,Working fulltime,30
NA,0,12,15,Moderate,Agree,No,No,Working fulltime,720
Yes,0,2,13,Moderate,NA,Yes,Yes,Working fulltime,120
NA,0,5,16,Moderate,Strongly agree,NA,NA,Working fulltime,300
NA,30,0,14,Moderate,Strongly agree,No,Yes,Working parttime,30
No,0,8,10,Extrmly conservative,NA,No,No,Working fulltime,480
NA,30,0,12,Slightly liberal,Agree,Yes,Yes,Working fulltime,30
NA,0,7,15,Conservative,Agree,No,No,Retired,420
No,0,10,12,Slghtly conservative,NA,Yes,Yes,"Unempl, laid off",600
NA,0,5,12,Extrmly conservative,Strongly agree,NA,NA,Working parttime,300
NA,0,2,14,Slightly liberal,Strongly agree,No,Yes,Working parttime,120
No,0,3,12,Slightly liberal,NA,No,Yes,Working fulltime,180
NA,0,1,12,Moderate,Agree,No,Yes,Keeping house,60
Does not apply (i do not have a job/superior/co-worker),0,0,12,Extremely liberal,NA,NA,NA,Keeping house,0
NA,0,0,10,Extremely liberal,Agree,NA,NA,Working parttime,0
Does not apply (i do not have a job/superior/co-worker),30,0,16,Conservative,NA,NA,NA,Keeping house,30
NA,0,7,14,Slghtly conservative,Agree,No,No,Keeping house,420
NA,0,0,12,Moderate,Disagree,NA,NA,Other,0
No,0,1,16,Conservative,NA,No,No,Working fulltime,60
NA,0,1,11,Moderate,Agree,NA,NA,Working fulltime,60
No,30,0,13,Moderate,NA,Yes,Yes,School,30
NA,0,10,14,Slghtly conservative,Disagree,NA,NA,Working fulltime,600
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Retired,0
NA,0,2,12,Conservative,Strongly agree,NA,NA,Working fulltime,120
NA,0,10,12,Moderate,Agree,NA,NA,Working fulltime,600
NA,0,0,11,Moderate,Agree,No,No,Working fulltime,0
NA,0,20,12,Slghtly conservative,Agree,NA,NA,Working fulltime,1200
No,0,0,11,Conservative,NA,NA,NA,Working fulltime,0
NA,0,5,20,Slghtly conservative,Disagree,NA,NA,Retired,300
NA,0,4,16,Extrmly conservative,Agree,NA,NA,Working fulltime,240
NA,0,1,11,Extrmly conservative,Strongly agree,No,No,Working parttime,60
NA,0,30,12,Conservative,Agree,NA,NA,"Unempl, laid off",1800
NA,0,0,10,Moderate,Agree,NA,NA,Keeping house,0
NA,0,0,10,Slightly liberal,Agree,NA,NA,Working parttime,0
NA,0,21,6,Moderate,Disagree,NA,NA,Retired,1260
NA,0,0,10,NA,Strongly agree,No,No,Keeping house,0
NA,0,3,12,Moderate,Agree,NA,NA,Retired,180
NA,0,4,10,Conservative,Agree,No,Yes,Retired,240
NA,0,4,12,Extrmly conservative,Agree,NA,NA,"Unempl, laid off",240
No,0,2,10,Slightly liberal,NA,No,Yes,Keeping house,120
