harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat,email
NA,30,0,17,Liberal,Strongly agree,NA,NA,Retired,30
No,0,1,15,Slightly liberal,NA,No,No,Working fulltime,60
NA,0,40,14,Moderate,Agree,No,Yes,Working fulltime,2400
NA,0,2,14,Liberal,Strongly agree,NA,NA,Working fulltime,120
NA,0,3,11,Moderate,Agree,NA,NA,Working fulltime,180
Yes,0,0,14,Slghtly conservative,NA,No,No,"Unempl, laid off",0
NA,0,20,16,Slightly liberal,Agree,NA,NA,Retired,1200
NA,50,0,16,Conservative,Agree,NA,NA,Retired,50
NA,0,4,11,Moderate,Disagree,NA,NA,"Unempl, laid off",240
NA,10,0,15,Moderate,Disagree,No,No,Keeping house,10
NA,30,0,14,Moderate,Strongly agree,NA,NA,Working fulltime,30
NA,0,7,14,Conservative,Agree,No,No,Working fulltime,420
NA,30,0,12,Slghtly conservative,Agree,NA,NA,Retired,30
No,0,2,14,Liberal,NA,No,No,Working fulltime,120
NA,0,4,12,Slightly liberal,Agree,NA,NA,Working fulltime,240
NA,0,6,16,Slightly liberal,Agree,NA,NA,Working fulltime,360
NA,0,1,14,Conservative,Agree,NA,NA,Working fulltime,60
NA,0,30,19,Slghtly conservative,Agree,NA,NA,Working fulltime,1800
NA,0,1,12,Conservative,Agree,No,No,Keeping house,60
NA,0,3,16,Liberal,Strongly agree,NA,NA,Working fulltime,180
NA,0,1,17,Slightly liberal,Strongly agree,No,No,Working parttime,60
NA,0,10,16,Slghtly conservative,Agree,NA,NA,Working fulltime,600
NA,0,30,10,NA,Strongly disagree,NA,NA,Working parttime,1800
NA,0,1,18,Conservative,Disagree,No,No,Working fulltime,60
NA,0,2,20,Moderate,Strongly agree,NA,NA,Working fulltime,120
NA,0,0,14,Moderate,Disagree,No,No,Retired,0
NA,0,1,12,Moderate,Strongly agree,NA,NA,Working fulltime,60
NA,0,4,11,Moderate,Agree,Yes,Yes,Working fulltime,240
No,0,2,18,Slghtly conservative,NA,No,No,Working fulltime,120
NA,0,5,18,Moderate,Agree,NA,NA,Working fulltime,300
NA,0,4,14,Moderate,Agree,No,Yes,Working parttime,240
No,0,50,16,Liberal,NA,No,No,Working fulltime,3000
NA,0,25,19,Conservative,Strongly agree,No,Yes,Working fulltime,1500
NA,0,60,16,Conservative,Agree,NA,NA,Temp not working,3600
NA,0,2,16,Moderate,Disagree,No,No,Working fulltime,120
NA,0,1,16,Slghtly conservative,Disagree,NA,NA,Retired,60
No,0,15,16,Conservative,NA,No,No,Working fulltime,900
Yes,0,100,13,Moderate,NA,NA,NA,Working parttime,6000
NA,0,20,9,Conservative,Disagree,NA,NA,Other,1200
No,0,0,6,Slghtly conservative,NA,No,No,Retired,0
NA,0,20,18,Liberal,Agree,NA,NA,Working fulltime,1200
NA,30,0,12,Extrmly conservative,Agree,No,No,Retired,30
No,0,0,12,Moderate,NA,NA,NA,Keeping house,0
NA,0,10,13,Conservative,Disagree,NA,NA,Working fulltime,600
NA,0,0,10,Moderate,Agree,No,Yes,Keeping house,0
NA,20,0,12,Slightly liberal,Agree,No,No,Temp not working,20
No,0,1,14,Slightly liberal,NA,No,No,Working parttime,60
NA,0,0,12,NA,Agree,NA,NA,Working fulltime,0
NA,0,20,20,Liberal,Agree,No,No,Working fulltime,1200
NA,0,5,12,Moderate,Agree,No,No,School,300
No,0,1,12,Liberal,NA,No,No,School,60
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working parttime,0
NA,30,0,14,Moderate,Agree,NA,NA,Retired,30
NA,0,10,14,Slightly liberal,Agree,No,Yes,Working fulltime,600
NA,0,0,9,Liberal,Agree,NA,NA,Working fulltime,0
NA,30,0,13,Slghtly conservative,Dont know,No,Yes,Keeping house,30
NA,10,0,12,Moderate,Agree,NA,NA,Working fulltime,10
Yes,0,1,11,Moderate,NA,NA,NA,Working fulltime,60
NA,0,21,16,Slightly liberal,Strongly agree,NA,NA,Working parttime,1260
NA,0,3,12,Slghtly conservative,Agree,Yes,Yes,"Unempl, laid off",180
NA,0,0,15,NA,Agree,NA,NA,Keeping house,0
NA,0,1,6,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,25,13,Moderate,Strongly agree,NA,NA,Working fulltime,1500
NA,0,5,15,Extremely liberal,Strongly agree,NA,NA,Retired,300
No,0,2,14,Moderate,NA,NA,NA,Keeping house,120
NA,0,1,8,Slghtly conservative,Agree,NA,NA,Working parttime,60
NA,0,3,15,Conservative,Agree,NA,NA,Keeping house,180
Yes,0,1,12,Conservative,NA,No,No,Keeping house,60
NA,30,0,16,Extrmly conservative,Agree,No,No,Working fulltime,30
NA,0,5,16,Extremely liberal,Agree,NA,NA,Working fulltime,300
NA,0,1,12,Extrmly conservative,Agree,NA,NA,Working fulltime,60
No,0,1,20,Moderate,NA,No,No,Working fulltime,60
NA,0,0,12,Liberal,Agree,NA,NA,Retired,0
NA,0,1,14,Moderate,Strongly agree,NA,NA,Working fulltime,60
NA,0,48,12,NA,Agree,Yes,Yes,"Unempl, laid off",2880
NA,30,0,17,Liberal,Agree,NA,NA,Working fulltime,30
NA,0,30,13,Liberal,Strongly agree,No,No,"Unempl, laid off",1800
NA,0,5,18,Liberal,Strongly agree,NA,NA,Retired,300
No,0,20,20,Slghtly conservative,NA,Yes,Yes,Working fulltime,1200
NA,0,0,14,Slightly liberal,Agree,No,No,Keeping house,0
NA,0,2,16,Conservative,Strongly agree,NA,NA,Retired,120
No,0,0,10,Conservative,NA,No,No,Retired,0
NA,5,0,14,Slghtly conservative,Agree,NA,NA,School,5
NA,0,5,17,Liberal,Strongly agree,Yes,Yes,Temp not working,300
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Working parttime,60
NA,30,0,15,Slghtly conservative,Agree,NA,NA,Working fulltime,30
NA,0,3,16,Slghtly conservative,Agree,No,No,Working parttime,180
NA,0,1,17,Liberal,Strongly agree,NA,NA,Retired,60
No,0,3,15,Liberal,NA,Yes,No,School,180
NA,0,2,15,Moderate,Strongly agree,NA,NA,Working parttime,120
NA,0,1,17,Extrmly conservative,Agree,No,No,Keeping house,60
NA,30,0,13,Extrmly conservative,Disagree,NA,NA,Retired,30
No,0,0,12,Extremely liberal,NA,NA,NA,Working parttime,0
NA,0,1,15,Slightly liberal,Strongly agree,NA,NA,School,60
No,15,0,13,Slghtly conservative,NA,No,Yes,"Unempl, laid off",15
NA,0,10,13,Moderate,Strongly agree,NA,NA,Retired,600
NA,0,0,14,Slightly liberal,Strongly agree,No,No,Working fulltime,0
No,0,20,14,Slghtly conservative,NA,No,No,Working fulltime,1200
NA,30,0,14,Liberal,Disagree,No,Yes,Retired,30
No,30,0,12,Moderate,NA,No,No,Working parttime,30
NA,0,4,19,Slghtly conservative,Agree,No,No,Working fulltime,240
NA,0,4,11,Slightly liberal,Agree,NA,NA,Working parttime,240
NA,0,6,20,Liberal,Strongly agree,NA,NA,Working fulltime,360
NA,0,1,16,Liberal,Agree,NA,NA,Retired,60
No,0,10,16,Slghtly conservative,NA,Yes,Yes,Working fulltime,600
NA,30,1,14,Slightly liberal,Agree,No,No,Working parttime,90
NA,0,2,14,Moderate,Agree,No,No,Working fulltime,120
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime,1200
NA,0,25,20,Extremely liberal,Strongly agree,No,No,Working fulltime,1500
NA,0,1,12,Moderate,Strongly agree,NA,NA,Temp not working,60
NA,0,4,15,Conservative,Agree,NA,NA,Retired,240
Does not apply (i do not have a job/superior/co-worker),0,2,12,Slghtly conservative,NA,NA,NA,Retired,120
NA,0,2,12,Moderate,Strongly agree,NA,NA,Working fulltime,120
NA,30,0,14,Slightly liberal,Agree,NA,NA,Working fulltime,30
NA,0,0,10,Slghtly conservative,Strongly agree,NA,NA,Retired,0
NA,0,10,13,Conservative,Agree,NA,NA,Working fulltime,600
No,5,0,13,Conservative,NA,Yes,Yes,Working parttime,5
NA,0,1,12,Extrmly conservative,Disagree,NA,NA,Working fulltime,60
NA,30,0,14,Conservative,Agree,Yes,Yes,Working parttime,30
NA,0,3,15,Moderate,Agree,NA,NA,Keeping house,180
Does not apply (i do not have a job/superior/co-worker),5,0,9,Moderate,NA,NA,NA,Retired,5
NA,0,0,10,Slightly liberal,Strongly agree,NA,NA,Working parttime,0
NA,10,0,12,Moderate,Agree,NA,NA,Working fulltime,10
No,15,0,11,Extremely liberal,NA,No,No,Keeping house,15
NA,0,0,11,Slghtly conservative,Agree,NA,NA,Other,0
No,15,0,13,Liberal,NA,No,Yes,Working parttime,15
NA,0,2,14,Liberal,Strongly agree,NA,NA,Working fulltime,120
NA,5,0,14,Conservative,Agree,No,No,Working fulltime,5
NA,0,0,8,Extrmly conservative,Agree,NA,NA,Keeping house,0
No,20,0,12,Moderate,NA,No,No,Working fulltime,20
NA,0,42,14,Slghtly conservative,Agree,NA,NA,Working fulltime,2520
NA,0,0,12,Moderate,Agree,Yes,Yes,Working fulltime,0
NA,0,10,14,Conservative,Agree,NA,NA,Retired,600
NA,2,0,14,Moderate,Agree,NA,NA,Keeping house,2
NA,0,50,13,Moderate,Agree,Yes,Yes,Working fulltime,3000
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime,1200
NA,0,5,10,Moderate,Agree,NA,NA,Retired,300
NA,0,1,12,Moderate,Strongly agree,No,Yes,Keeping house,60
NA,0,0,14,NA,Agree,Yes,Yes,Keeping house,0
NA,0,7,17,Moderate,Strongly agree,NA,NA,Working fulltime,420
NA,20,0,2,Extrmly conservative,Strongly disagree,NA,NA,Retired,20
NA,0,30,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,1800
NA,0,10,12,Slghtly conservative,Strongly disagree,No,No,Working fulltime,600
No,0,25,13,Slghtly conservative,NA,No,No,Working fulltime,1500
NA,30,0,12,Moderate,Agree,NA,NA,Retired,30
NA,0,1,17,Conservative,Agree,NA,NA,Working fulltime,60
NA,0,0,11,Moderate,Agree,NA,NA,Retired,0
No,15,0,15,Moderate,NA,No,No,Working fulltime,15
NA,0,12,15,Moderate,Agree,NA,NA,Working fulltime,720
No,0,1,10,Moderate,NA,No,No,Working fulltime,60
NA,0,2,14,Conservative,Disagree,NA,NA,Other,120
NA,0,0,11,Slghtly conservative,Disagree,No,No,Working fulltime,0
No,0,6,15,NA,NA,No,No,Retired,360
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime,0
NA,10,0,16,Slghtly conservative,Agree,NA,NA,Working fulltime,10
NA,0,2,12,Moderate,Agree,Yes,Yes,Working parttime,120
NA,15,0,15,Moderate,Agree,NA,NA,School,15
NA,0,5,14,Moderate,Disagree,NA,NA,Working fulltime,300
No,0,15,16,Slghtly conservative,NA,No,No,Working fulltime,900
NA,0,15,14,Moderate,Agree,NA,NA,Working fulltime,900
NA,0,1,12,Moderate,Disagree,No,No,Working parttime,60
No,0,0,16,Slightly liberal,NA,No,No,Working fulltime,0
NA,50,0,15,NA,Disagree,NA,NA,Working fulltime,50
NA,0,2,18,Slghtly conservative,Strongly agree,No,No,Working fulltime,120
No,0,4,15,Slightly liberal,NA,Yes,Yes,Working fulltime,240
NA,0,0,13,Moderate,Agree,NA,NA,Keeping house,0
Yes,0,1,12,Slightly liberal,NA,Yes,Yes,Working parttime,60
NA,0,1,13,Slghtly conservative,Strongly agree,NA,NA,Working parttime,60
NA,0,4,13,Extrmly conservative,Strongly agree,NA,NA,Retired,240
NA,0,16,14,Moderate,Agree,Yes,Yes,Working fulltime,960
No,0,1,4,Conservative,NA,Yes,No,Keeping house,60
NA,0,1,12,Moderate,Agree,No,No,Working fulltime,60
NA,0,0,10,Moderate,Disagree,NA,NA,Keeping house,0
NA,0,2,9,Slghtly conservative,Strongly agree,NA,NA,"Unempl, laid off",120
NA,30,0,14,Slghtly conservative,Agree,NA,NA,"Unempl, laid off",30
NA,0,2,9,Moderate,Disagree,NA,NA,Keeping house,120
NA,0,18,14,Moderate,Agree,NA,NA,Working fulltime,1080
Yes,0,0,14,Slghtly conservative,NA,No,No,Working fulltime,0
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime,120
Yes,30,0,12,Slightly liberal,NA,NA,NA,Working fulltime,30
NA,45,0,16,Moderate,Agree,No,No,Retired,45
No,0,2,16,Extrmly conservative,NA,No,No,Keeping house,120
NA,0,20,17,Moderate,Strongly disagree,NA,NA,Retired,1200
NA,5,0,12,Liberal,Agree,No,No,Other,5
NA,0,0,12,Conservative,Strongly agree,NA,NA,Working parttime,0
Does not apply (i do not have a job/superior/co-worker),0,1,13,Conservative,NA,NA,NA,School,60
NA,0,2,16,Slghtly conservative,Disagree,NA,NA,Retired,120
No,0,1,14,Moderate,NA,No,No,Other,60
NA,30,0,11,Liberal,Disagree,No,No,Working fulltime,30
Does not apply (i do not have a job/superior/co-worker),0,1,17,Slghtly conservative,NA,NA,NA,Retired,60
NA,0,3,13,Moderate,Agree,NA,NA,School,180
Does not apply (i do not have a job/superior/co-worker),0,1,14,Moderate,NA,No,No,Retired,60
NA,0,0,10,Liberal,Agree,NA,NA,Working fulltime,0
NA,0,1,16,Slghtly conservative,Strongly agree,NA,NA,Retired,60
NA,0,7,12,Conservative,Disagree,NA,NA,Working fulltime,420
No,0,1,16,Moderate,NA,No,No,Working fulltime,60
NA,0,2,14,Liberal,Strongly agree,NA,NA,Working parttime,120
NA,0,3,14,Moderate,Agree,No,No,Working parttime,180
NA,0,15,18,Slightly liberal,Strongly agree,NA,NA,Working fulltime,900
NA,0,8,18,Liberal,Agree,NA,NA,Working parttime,480
NA,0,1,16,Slightly liberal,Strongly agree,No,No,Working fulltime,60
NA,0,10,17,Slightly liberal,Agree,NA,NA,Working parttime,600
No,0,0,12,Moderate,NA,No,No,Working parttime,0
NA,0,1,14,Moderate,Strongly agree,Yes,No,Working fulltime,60
NA,0,1,14,Conservative,Agree,NA,NA,Working fulltime,60
No,0,1,14,Conservative,NA,No,No,Working fulltime,60
NA,0,12,12,Conservative,Disagree,No,No,Retired,720
No,0,1,16,Slightly liberal,NA,No,No,Keeping house,60
NA,0,4,12,Slightly liberal,Agree,NA,NA,Working fulltime,240
No,10,0,12,Slghtly conservative,NA,No,No,Working fulltime,10
NA,0,1,12,Conservative,Agree,No,No,Other,60
NA,0,7,14,Moderate,Agree,NA,NA,School,420
NA,0,5,12,Liberal,Agree,NA,NA,Working fulltime,300
NA,0,30,12,Moderate,Strongly agree,Yes,No,Working fulltime,1800
NA,30,1,12,Moderate,Agree,NA,NA,Working fulltime,90
No,0,1,14,Conservative,NA,No,No,Retired,60
NA,0,0,18,Slghtly conservative,Strongly agree,NA,NA,Retired,0
Yes,0,10,12,Moderate,NA,NA,NA,Working fulltime,600
NA,0,5,16,Slghtly conservative,Strongly agree,No,No,Keeping house,300
No,0,0,12,Conservative,NA,NA,NA,Retired,0
No,0,1,12,Slghtly conservative,NA,No,No,Retired,60
NA,0,2,17,Moderate,Strongly agree,Yes,Yes,Working fulltime,120
NA,0,0,10,Moderate,Agree,NA,NA,"Unempl, laid off",0
NA,0,5,20,Moderate,Agree,NA,NA,"Unempl, laid off",300
NA,0,2,14,Moderate,Agree,Yes,Yes,Working fulltime,120
NA,0,0,11,Slightly liberal,Disagree,No,No,Keeping house,0
No,10,0,12,Moderate,NA,No,Yes,Working fulltime,10
NA,0,14,16,Moderate,Agree,NA,NA,Working fulltime,840
NA,0,0,12,Extrmly conservative,Disagree,NA,NA,Working fulltime,0
No,0,0,12,Slghtly conservative,NA,Yes,No,Working fulltime,0
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working fulltime,0
NA,0,5,13,Moderate,Agree,NA,NA,Working fulltime,300
NA,0,8,14,Slghtly conservative,Agree,NA,NA,Working fulltime,480
NA,0,5,12,Slghtly conservative,Agree,NA,NA,Working fulltime,300
No,0,2,13,Slghtly conservative,NA,No,No,Working fulltime,120
NA,0,0,10,Slightly liberal,Agree,NA,NA,Retired,0
No,0,0,9,Extrmly conservative,NA,No,No,Retired,0
NA,0,0,12,Moderate,Disagree,NA,NA,Working fulltime,0
No,0,5,20,Liberal,NA,No,No,Retired,300
NA,0,10,16,Slghtly conservative,Agree,NA,NA,Working fulltime,600
NA,0,12,20,Liberal,Agree,No,No,Working fulltime,720
NA,0,2,18,Moderate,Agree,NA,NA,Retired,120
NA,0,30,10,Conservative,Agree,No,No,Working fulltime,1800
NA,0,0,7,Moderate,Agree,NA,NA,Keeping house,0
NA,0,5,16,Conservative,Disagree,NA,NA,Working fulltime,300
No,0,40,13,Liberal,NA,No,No,Working fulltime,2400
NA,0,1,17,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,1,15,Conservative,Agree,No,No,School,60
Does not apply (i do not have a job/superior/co-worker),0,3,12,Slghtly conservative,NA,No,No,Retired,180
NA,0,1,13,Slightly liberal,Agree,NA,NA,Working fulltime,60
NA,0,20,12,Moderate,Strongly agree,Yes,No,Working parttime,1200
NA,0,7,20,Moderate,Strongly agree,NA,NA,Working fulltime,420
No,0,0,10,Conservative,NA,NA,NA,Retired,0
NA,0,5,18,Moderate,Agree,NA,NA,Keeping house,300
No,10,0,12,Slghtly conservative,NA,NA,NA,Keeping house,10
NA,0,7,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime,420
NA,0,3,18,Moderate,Disagree,NA,NA,Working fulltime,180
NA,0,12,16,Conservative,Strongly agree,NA,NA,Working fulltime,720
No,0,0,12,Liberal,NA,No,No,Working parttime,0
NA,0,0,9,Moderate,Agree,NA,NA,Keeping house,0
NA,0,15,14,Moderate,Agree,NA,NA,Working fulltime,900
NA,0,10,15,Moderate,Agree,NA,NA,Working fulltime,600
No,0,1,15,Liberal,NA,No,No,Working fulltime,60
NA,0,1,18,Extremely liberal,Agree,NA,NA,Working fulltime,60
No,0,2,15,Moderate,NA,No,No,"Unempl, laid off",120
NA,30,0,13,Slightly liberal,Agree,NA,NA,Retired,30
No,0,5,12,Conservative,NA,No,No,Working fulltime,300
NA,0,0,10,Slghtly conservative,Disagree,NA,NA,Keeping house,0
No,0,1,12,Conservative,NA,No,No,Working fulltime,60
NA,0,4,15,Conservative,Agree,No,No,Working fulltime,240
No,0,0,12,Moderate,NA,No,No,Keeping house,0
NA,0,0,12,Moderate,Disagree,NA,NA,Working fulltime,0
NA,0,0,13,Moderate,Disagree,NA,NA,Working fulltime,0
No,0,0,12,Slightly liberal,NA,NA,NA,Working fulltime,0
No,0,8,11,Moderate,NA,Yes,Yes,Keeping house,480
NA,0,4,12,Moderate,Agree,NA,NA,Working fulltime,240
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime,0
No,0,0,14,Slghtly conservative,NA,NA,NA,Retired,0
NA,20,0,9,Moderate,Agree,NA,NA,Temp not working,20
Yes,0,2,12,Moderate,NA,Yes,Yes,"Unempl, laid off",120
NA,0,1,12,Conservative,Agree,No,No,Working fulltime,60
NA,0,0,12,Extremely liberal,Agree,NA,NA,Working parttime,0
NA,0,30,14,Conservative,Agree,No,No,Working fulltime,1800
NA,0,5,19,Moderate,Agree,NA,NA,Working fulltime,300
NA,30,0,11,Liberal,Strongly agree,NA,NA,Working fulltime,30
NA,30,1,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,90
NA,0,12,12,Moderate,Disagree,NA,NA,Keeping house,720
NA,0,8,11,Extremely liberal,Agree,NA,NA,Keeping house,480
NA,0,0,10,Moderate,Disagree,NA,NA,Working fulltime,0
NA,0,4,12,NA,Agree,No,No,Working parttime,240
NA,40,0,12,Slghtly conservative,Agree,NA,NA,Keeping house,40
NA,10,0,10,Moderate,Strongly agree,NA,NA,Keeping house,10
NA,0,1,16,Extrmly conservative,Disagree,NA,NA,Retired,60
NA,30,0,14,Conservative,Agree,NA,NA,Retired,30
No,0,1,6,Moderate,NA,No,No,Working fulltime,60
NA,0,1,12,Moderate,Agree,NA,NA,Keeping house,60
No,0,4,12,Moderate,NA,NA,NA,Working fulltime,240
No,0,0,12,Moderate,NA,NA,NA,Working parttime,0
NA,0,0,16,Conservative,Strongly agree,NA,NA,Keeping house,0
NA,0,1,12,Slightly liberal,Disagree,NA,NA,"Unempl, laid off",60
No,30,2,18,Liberal,NA,NA,NA,Working parttime,150
Yes,0,40,19,Conservative,NA,No,No,Working fulltime,2400
Yes,0,0,18,Moderate,NA,NA,NA,Working fulltime,0
NA,0,4,16,Moderate,Agree,NA,NA,Working fulltime,240
NA,0,1,10,Conservative,Agree,NA,NA,Retired,60
NA,0,1,12,Moderate,Strongly agree,NA,NA,Retired,60
NA,30,0,12,Moderate,Disagree,Yes,Yes,Other,30
NA,0,2,20,Extrmly conservative,Agree,NA,NA,Working fulltime,120
No,0,4,16,Slghtly conservative,NA,No,No,Working fulltime,240
NA,0,1,16,Liberal,Agree,No,No,Working fulltime,60
NA,0,0,12,Conservative,Disagree,NA,NA,Working fulltime,0
NA,0,7,18,Moderate,Agree,NA,NA,Retired,420
NA,0,10,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime,600
NA,0,20,16,Moderate,Agree,No,No,Working fulltime,1200
Yes,0,8,16,Liberal,NA,No,No,Working fulltime,480
NA,0,10,16,Liberal,Agree,No,No,Retired,600
NA,0,2,14,Liberal,Strongly agree,NA,NA,Working fulltime,120
NA,0,5,14,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,300
NA,0,6,14,Moderate,Agree,NA,NA,Working fulltime,360
NA,0,20,12,Moderate,Strongly agree,No,No,Working fulltime,1200
NA,0,10,16,Moderate,Strongly agree,NA,NA,Working fulltime,600
NA,0,5,15,Liberal,Strongly agree,Yes,Yes,School,300
NA,0,1,15,Extremely liberal,Strongly agree,NA,NA,Working fulltime,60
Yes,0,12,12,Moderate,NA,No,No,Working fulltime,720
NA,0,4,15,Slghtly conservative,Agree,NA,NA,Working fulltime,240
NA,0,1,13,Moderate,Agree,NA,NA,Retired,60
NA,0,20,20,Extremely liberal,Agree,No,Yes,Working fulltime,1200
NA,0,2,15,Conservative,Disagree,NA,NA,Working fulltime,120
No,0,0,14,Moderate,NA,NA,NA,Keeping house,0
NA,0,1,14,Slghtly conservative,Agree,NA,NA,Working fulltime,60
