country,fishing_type,amount
Algeria,Capture,"126,259"
Algeria,Aquaculture,368
Angola,Capture,"240,000"
Argentina,Capture,"931,472"
Argentina,Aquaculture,"2,430"
Australia,Capture,"245,935"
Australia,Aquaculture,"47,087"
Bangladesh,Capture,"1,333,866"
Bangladesh,Aquaculture,"882,091"
Brazil,Capture,"750,283"
Brazil,Aquaculture,"257,783"
Cambodia,Capture,"384,000"
Cambodia,Aquaculture,"26,000"
Canada,Capture,"1,080,982"
Canada,Aquaculture,"154,083"
Chile,Capture,"4,330,325"
Chile,Aquaculture,"698,214"
Colombia,Capture,"121,000"
Colombia,Aquaculture,"60,072"
"Congo, Democratic Republic of the",Capture,"220,000"
"Congo, Democratic Republic of the",Aquaculture,"2,965"
Denmark,Capture,"910,613"
Denmark,Aquaculture,"39,012"
Ecuador,Capture,"407,723"
Ecuador,Aquaculture,"78,300"
Egypt,Capture,"349,553"
Egypt,Aquaculture,"539,748"
France,Capture,"574,358"
France,Aquaculture,"258,435"
Germany,Capture,"285,668"
Germany,Aquaculture,"44,685"
Ghana,Capture,"392,274"
Ghana,Aquaculture,"1,154"
Greece,Capture,"92,738"
Greece,Aquaculture,"106,208"
Greenland,Capture,"216,302"
Hong Kong,Capture,"161,964"
Hong Kong,Aquaculture,"4,130"
Iceland,Capture,"1,661,031"
Iceland,Aquaculture,"8,256"
India,Capture,"3,481,136"
India,Aquaculture,"2,837,751"
Indonesia,Capture,"4,381,260"
Indonesia,Aquaculture,"1,197,109"
Iran,Capture,"410,558"
Iran,Aquaculture,"117,354"
Ireland,Capture,"262,532"
Ireland,Aquaculture,"60,050"
Italy,Capture,"298,373"
Italy,Aquaculture,"180,943"
Japan,Capture,"4,072,895"
Japan,Aquaculture,"746,221"
Kenya,Capture,"148,124"
Kenya,Aquaculture,"1,047"
Latvia,Capture,"150,618"
Latvia,Aquaculture,542
Lithuania,Capture,"139,785"
Lithuania,Aquaculture,"2,013"
Madagascar,Capture,"136,400"
Madagascar,Aquaculture,"8,500"
Malaysia,Capture,"1,214,183"
Malaysia,Aquaculture,"175,834"
Mauritania,Capture,"247,577"
Mexico,Capture,"1,304,830"
Mexico,Aquaculture,"117,514"
Morocco,Capture,"932,704"
Morocco,Aquaculture,"2,257"
Myanmar,Capture,"1,742,956"
Myanmar,Aquaculture,"474,510"
Namibia,Capture,"552,695"
Namibia,Aquaculture,50
Netherlands,Capture,"549,208"
Netherlands,Aquaculture,"68,175"
New Zealand,Capture,"535,394"
New Zealand,Aquaculture,"105,301"
Nigeria,Capture,"523,182"
Nigeria,Aquaculture,"56,355"
North Korea,Capture,"205,000"
North Korea,Aquaculture,"63,700"
Norway,Capture,"2,392,934"
Norway,Aquaculture,"656,636"
Oman,Capture,"150,571"
Oman,Aquaculture,173
Other,Capture,"9,685,851"
Other,Aquaculture,"786,993"
Pakistan,Capture,"434,473"
Pakistan,Aquaculture,"80,622"
Panama,Capture,"214,737"
Panama,Aquaculture,"8,019"
Papua New Guinea,Capture,"250,280"
People's Republic of China,Capture,"17,053,191"
People's Republic of China,Aquaculture,"32,414,084"
Peru,Capture,"9,388,662"
Peru,Aquaculture,"27,468"
Philippines,Capture,"2,246,352"
Philippines,Aquaculture,"557,251"
Poland,Capture,"156,247"
Poland,Aquaculture,"36,607"
Portugal,Capture,"211,757"
Portugal,Aquaculture,"6,485"
Russian Federation,Capture,"3,190,946"
Russian Federation,Aquaculture,"114,752"
Senegal,Capture,"405,070"
Senegal,Aquaculture,193
Seychelles,Capture,"106,555"
Seychelles,Aquaculture,772
Sierra Leone,Capture,"145,993"
South Africa,Capture,"817,608"
South Africa,Aquaculture,"3,142"
South Korea,Capture,"1,639,069"
South Korea,Aquaculture,"436,232"
Spain,Capture,"848,803"
Spain,Aquaculture,"221,927"
Sri Lanka,Capture,"161,960"
Sri Lanka,Aquaculture,"1,724"
Sweden,Capture,"256,359"
Sweden,Aquaculture,"5,880"
Taiwan (Republic of China),Capture,"1,017,243"
Taiwan (Republic of China),Aquaculture,"304,756"
Tanzania,Capture,"347,800"
Tanzania,Aquaculture,11
Thailand,Capture,"2,599,387"
Thailand,Aquaculture,"1,144,011"
Tunisia,Capture,"109,117"
Tunisia,Aquaculture,"2,665"
Turkey,Capture,"426,496"
Turkey,Aquaculture,"119,177"
Uganda,Capture,"416,758"
Uganda,Aquaculture,"10,817"
UK,Capture,"669,458"
UK,Aquaculture,"172,813"
Ukraine,Capture,"244,943"
Ukraine,Aquaculture,"28,745"
Uruguay,Capture,"125,906"
Uruguay,Aquaculture,47
USA,Capture,"4,888,621"
USA,Aquaculture,"471,958"
Vanuatu,Capture,"151,079"
Vanuatu,Aquaculture,1
Venezuela,Capture,"470,000"
Venezuela,Aquaculture,"22,210"
Vietnam,Capture,"1,929,900"
Vietnam,Aquaculture,"1,437,300"
Yemen,Capture,"263,000"