Artist,Title,Date,Period,Description,Material,Collection,Classification,Signature,Accession Number,link,Dimensions,Subject,Alternative Title
"William Gear (b.1915, d.1997)",Untitled,1959,20th century; 1950s,abstract with splashes of watery blue and bright yellow and red on a white background.,acrylic paint/paint (coating),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000,signed and dated lower right hand corner,EU0975,https://collections.ed.ac.uk/art/./record/20144?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract black wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings),Signed in red in monogram.,EU0165,https://collections.ed.ac.uk/art/./record/388?highlight=*:*,75.5x55.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Portrait of H.S.,1973,20th century; 1970s,"Charcoal outline of stylised human head with curly hair on back of used canvas. Front of canvas is colourful oil abstract in blue, ochre, yellow green and black.",charcoal (material)/plant material/materials (substances); canvas (textile material)/textile materials/materials (substances); charcoal (material)/plant material/materials (substances),Art Collection; Hope Scott Collection,Abstract (fine arts style); drawings (visual works); charcoal drawings; drawings 1901-2000; figures (representations),Signed and inscribed twice''For Hope''.,EU0138,https://collections.ed.ac.uk/art/./record/425?highlight=*:*,45.7x40.6 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Red and Black,1976,20th century; 1970s,Abstract black and red blocks with grey wash and dribbled areas.,ink/coating (material)/materials (substances); paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); visual works (works); paintings (visual works); paintings 1901-2000; watercolours (paintings); ink wash paintings,Signed and dated.,EU0147,https://collections.ed.ac.uk/art/./record/597?highlight=*:*,77.4x58.4 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled (Landscape),1943,20th century; 1940s,Abstract black and grey wash landscape with hills and trees with large mushroom-shaped tree in middle foreground.,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); hills; mountains; trees,NA,EU0146,https://collections.ed.ac.uk/art/./record/442?highlight=*:*,24.7x35 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Black Sitka,1961,20th century; 1960s,Black landscape with the impression of autumn coloured trees in the top left corner,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0108,https://collections.ed.ac.uk/art/./record/499?highlight=*:*,63.5x76.2 cm,NA,NA
Mohamed Ounouh (b.1964),Untitled (yellow triangle),1989,20th century; 1980s,abstract tribal with thick black lines and forms with a central yellow triangle.,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); geometric patterns; paintings (visual works); acrylic; paintings 1901-2000,signed and dated bottom left hand corner,EU1035,https://collections.ed.ac.uk/art/./record/20203?highlight=*:*,NA,abstract,NA
Rena R. Simpson II,Untitled - Abstract Print of Foliage in Black and White,1982,20th century; 1980s,Print in black and white shades of abstracted coliage and tropical trees.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4096,https://collections.ed.ac.uk/art/./record/99332?highlight=*:*,NA,NA,NA
Graeme Murray,Untitled - Two Abstract Melting Faces,1985-1986,20th century; 1980s,Print of a colourful painting of two abstract skull-like faces that are melting into the background.,Print,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; Abstract (fine arts style),NA,EU4099,https://collections.ed.ac.uk/art/./record/99335?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Earth Element,1972,20th century; 1970s,Abstract black wash.,ink/coating (material)/materials (substances); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink wash paintings,Bottom right.,EU0129,https://collections.ed.ac.uk/art/./record/443?highlight=*:*,85x63.5 cm,NA,NA
Gordon W. Boyd,Composition,1987,20th century; 1980s,NA,acrylic paint/paint (coating); charcoal (material)/plant material/materials (substances); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); mixed media works,NA,EU3119,https://collections.ed.ac.uk/art/./record/22564?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1975,20th century; 1970s,Abstract black and grey wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),NA,EU0158,https://collections.ed.ac.uk/art/./record/567?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Two Circles,NA,NA,Two hand drawn circles in black,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style),Signed and inscribed 'For Hope'.,EU0169,https://collections.ed.ac.uk/art/./record/592?highlight=*:*,77.5x57.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Portrait Emerging,1976,20th century; 1970s,Abstract in black and greys,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),"Signed, dated and inscribed on reverse,''For Hope''.",EU0115,https://collections.ed.ac.uk/art/./record/566?highlight=*:*,88.9x90.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1971,20th century; 1970s,A black and a red rectangle,oil paint (paint)/paint (coating); toilet paper/paper (fibre product),Art Collection; Hope Scott Collection,Abstract (fine arts style); visual works (works); paintings (visual works); paintings 1901-2000; oil paintings (visual works),In monogram.,EU0135,https://collections.ed.ac.uk/art/./record/19476?highlight=*:*,14x11.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Drawing for Sculpture,1974,20th century; 1970s,Abstract black wash.,ink/coating (material)/materials (substances); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink wash paintings,Bottom right. Title inscribed on reverse.,EU0132,https://collections.ed.ac.uk/art/./record/451?highlight=*:*,77.5x58.4 cm,NA,NA
Jane Watt,Opuntia Basilaris Engelmann and Bigelow 1856,1993-1994,20th century; 1990s,"Quick sketch in oil pastel, charcoal, graphite and conte of a species of cactus, that is brown and bulbous with small flower buds.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pastel; pencil drawings; charcoal drawings; drawings 1901-2000; botany,'WP90 33' - written under old accession number.,EU4222,https://collections.ed.ac.uk/art/./record/99458?highlight=*:*,NA,NA,NA
Frederick C White,Untitled - Street Scene,1960,20th century; 1960s,"Painting in gouche?in cool blues and purples of a street scene from above at twightlight with two figures walking on the left, a bus being boarded at the right middle and a figure standing on the corner in the bottom right.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); street scenes; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4217,https://collections.ed.ac.uk/art/./record/99453?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract,NA,20th century,Central column of grey ink wash.,ink/coating (material)/materials (substances); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink,Bottom right,EU0128,https://collections.ed.ac.uk/art/./record/387?highlight=*:*,77.5x57.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Green Form,NA,20th century,NA,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),Monogram bottom right.,EU0131,https://collections.ed.ac.uk/art/./record/390?highlight=*:*,45.7x35.5 cm,NA,NA
Anthony J Valentine,"Untitled - Abstract Orange, Blue, and Brown Shapes",1963,20th century; 1960s,"Abstract print in oranges, blues, and browns of organic shapes layered on top of each other.",Conté/Drawing,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),NA,EU4206,https://collections.ed.ac.uk/art/./record/99442?highlight=*:*,NA,NA,NA
Norman Shaw,Untitled - Abstract Ocean of Dark Reds and Greens and Blacks,1993,20th century; 1990s,"Abstract painting in gouache with accents in white chalk of dark and moody water and droplets in dark red, green and black.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); chalk drawings; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,'WP90 27'' - written above old accession number.,EU4227,https://collections.ed.ac.uk/art/./record/99463?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Basilaris Engelmann and Bigelow 1957,1993-1994,20th century; 1990s,"Quick sketch in oil pastel, charcoal, graphite of two examples of a species of cactus,which are shaped like conch shells, one is brown and one is white and grey.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pastel; pencil drawings; charcoal drawings; drawings 1901-2000; botany,'WP90 32' - written under old accession number.,EU4223,https://collections.ed.ac.uk/art/./record/99459?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Vulgaris Miller,1993-1994,20th century; 1990s,"Abstract watercolour of a species of brown cactus, depicted in the centre of the page.",watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); botany,'WP90 35' - written under old accession number.,EU4220,https://collections.ed.ac.uk/art/./record/99456?highlight=*:*,NA,NA,NA
Michael T R B Turnbull,Untitled - Kings and Queens,1969,20th century; 1960s,"Abstract black-and-white print divided into eight boxes, each featuring a king or queen from a deck of cards.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),Edinburgh College of Art information has been stamped and smudged in blue on the bottom left on frame.,EU4210,https://collections.ed.ac.uk/art/./record/99446?highlight=*:*,NA,NA,NA
Monika L I Uecker,Untitled - The Magi,1963,20th century; 1960s,"Abstract black-and-white print of the three magi holding gifts and walking towards Bethlehem, which is in the background on the left.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),NA,EU4208,https://collections.ed.ac.uk/art/./record/99444?highlight=*:*,NA,NA,NA
Helen Wishart,Untitled - Country Houses and Fields,1963,20th century; 1960s,Print in dark colours of five intersecting fields separated by fences and rock walls with a row of white farm houses and two trees in the distance.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); landscapes (representations); prints (visual works),NA,EU4215,https://collections.ed.ac.uk/art/./record/99451?highlight=*:*,NA,NA,NA
Helen Wishart,Untitled - Still Life with Flowers and Pitchers,1963,20th century; 1960s,"Print in dark greens, blues, and browns of a still life with a pitcher of tuplips and vase of wildflowers on a table with a bowl, teapot, and empty pitcher.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); still lifes; prints (visual works),NA,EU4216,https://collections.ed.ac.uk/art/./record/99452?highlight=*:*,NA,NA,NA
Gordon Bryce (Scottish b.1943),Untitled - Abstracted Shapes in Greys and Greens,1963,20th century; 1960s,Watercolour painting of abstracted shapes in greys and greens and blues with rays of colour extending across the page.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4038,https://collections.ed.ac.uk/art/./record/99277?highlight=*:*,NA,NA,NA
Delia M Surplice,Craigleith Island July '92,1992,20th century; 1990s,Abstract drawing with pen & ink and chalk of seaguls on Craigleith lsland.,Pen and Wash/Drawing,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); chalk drawings; drawings 1901-2000; pen and wash drawings; ink,"'Delia Surplice 1993' written on reverse centre, 'WP90 28' written on reverse top right.",EU4179,https://collections.ed.ac.uk/art/./record/99415?highlight=*:*,NA,NA,NA
Robert I Montgomery,Champagne,1993,20th century; 1990s,Diptych with two abstract drawings in charcoal paint on paper with a square on the right piece and binding holes and the words 'champagne' written on each.,charcoal (material)/plant material/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); charcoal drawings; paintings (visual works); mixed media works; drawings 1901-2000; pen and wash drawings; ink,NA,EU4180,https://collections.ed.ac.uk/art/./record/99416?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Birds Eye View of City,1965,20th century; 1960s,Abstract drawing in oil pastel with ink looking down upon a parking lot and city buildings which progess into the background.,Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); drawings 1901-2000; pastel; pen and wash drawings; ink; mixed media works,NA,EU4158,https://collections.ed.ac.uk/art/./record/99394?highlight=*:*,NA,NA,NA
Dorothy Black (b.1963),Untitled - Two Boys in Patterned Shirts,1985-1986,20th century; 1980s,Abstract black-and-white print of two boys wearing intricatly patterned shirts.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4231,https://collections.ed.ac.uk/art/./record/99467?highlight=*:*,NA,NA,NA
Andrew Arnott,"3,500 Men",May 1986,20th century; 1980s,Abstract print of man wearing overalls and a checkered shirt with a rooster in place of his head.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4234,https://collections.ed.ac.uk/art/./record/99470?highlight=*:*,NA,NA,NA
John Brown,The Jungle,1990,20th century; 1990s,Abstract black-and-white print of tombstones with barred windows containing various objects of the mind.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4233,https://collections.ed.ac.uk/art/./record/99469?highlight=*:*,NA,NA,NA
David Batchelor (b.1955),Colour Chart 5 (blue),2011,21st century; 2010s,"Batchelor is known predominantly for his bold sculpture. The Colour Chart series explores the core of his practice - vivid, unadulterated colour - and investigates the line between two and three dimensional work. This is a painting, yet the highly textured surface gives it the tactility of sculpture; a sense heightened by the ‘plinth’ on which the object sits. To create these works, Batchelor pours gloss paint directly from the tin onto thin aluminium sheets, allowing it to find its own form. The paint takes up to six months to dry, creating these textural, almost lunar, surfaces.",paint (coating); gloss paint/paint (coating); metal/inorganic material/materials (substances); aluminium/nonferrous metal/metal/inorganic material/materials (substances),Art Collection; Modern and Contemporary Art Collection,paintings (visual works); Abstract (fine arts style); geometric patterns; paintings 2001- present,NA,EU2931,https://collections.ed.ac.uk/art/./record/22044?highlight=*:*,85 x 74.5cm,NA,Blob 5 (blue)
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Drawing,1975,20th century; 1970s,Abstract grey wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings),Signed and indistinctly dated,EU0170,https://collections.ed.ac.uk/art/./record/546?highlight=*:*,77.5x58.4 cm,NA,NA
John Johnstone,Autumnal Image,NA,NA,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3187,https://collections.ed.ac.uk/art/./record/22632?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1979,20th century; 1970s,Abstract black wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed and dated in red.,EU0159,https://collections.ed.ac.uk/art/./record/522?highlight=*:*,75.6x55.8 cm,NA,NA
Ian G. Robertson,Abstract with Blue Stripes (quadriptych),1969,20th century; 1960s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; Abstract (fine arts style),NA,EU3125,https://collections.ed.ac.uk/art/./record/22570?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract black and grey wash,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in red and monogram.,EU0162,https://collections.ed.ac.uk/art/./record/523?highlight=*:*,81.9x56.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,"Abstract wash in dark, olive green",paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Signed in monogram.,EU0156,https://collections.ed.ac.uk/art/./record/370?highlight=*:*,77.5x57.1 cm,NA,NA
Unknown,Green Square Abstract,NA,NA,NA,Wax; oil paint (paint)/paint (coating); canvas board/cardboard/paper (fibre product),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3180,https://collections.ed.ac.uk/art/./record/22625?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Metamorphosis,NA,20th century,NA,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),"Signed and inscribed on reserve, ' Metamorphosis, to Hope on the occasion of her birthday, with much love, William, 1976'.",EU0163,https://collections.ed.ac.uk/art/./record/517?highlight=*:*,77.5x57.8 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Black and Grey Form,1974,20th century; 1970s,This is landscape with trees according to William Johnstone.,ink/coating (material)/materials (substances); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); ink,signed and dated.,EU0140,https://collections.ed.ac.uk/art/./record/471?highlight=*:*,57.8x72.3 cm,NA,NA
Unknown,Thick Pale Green,NA,NA,NA,Oil on Hardboard/oil paint (paint)/paint (coating),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3102,https://collections.ed.ac.uk/art/./record/22547?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",The Perfect March Day,1971,20th century; 1970s,Abstract wash in pale brown,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),Bottom right,EU0127,https://collections.ed.ac.uk/art/./record/447?highlight=*:*,32.5x23.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Ettrick Raining,1936,20th century; 1930s,Almost solid black wash.,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,Abstract (fine arts style),"Signed and dated 1936 on the bottom left. But inscribed on reverse, 'monoprint 1931, for Hope wirh love from William,christmas,1980'",EU0174,https://collections.ed.ac.uk/art/./record/389?highlight=*:*,16.5x13.3 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Untitled,1960,20th century; 1960s,"Grey wash landscape, two black figures in foreground.",paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style),Signed and dated on the bottom centre.,EU0143,https://collections.ed.ac.uk/art/./record/373?highlight=*:*,17.8x26.6 cm,NA,NA
Mohamed Ounouh (b.1964),Untitled (birds' feet),1991,20th century; 1990s,"tribal abstract with thick black lines, a central green square with red outline and black stripes pointing down, while one diagonal stripe, formed as a birds' foot brings itself to the centre of the square.",acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,NA,EU1020,https://collections.ed.ac.uk/art/./record/20188?highlight=*:*,NA,abstract,NA
Mohamed Ounouh (b.1964),Untitled (fork with blue triangle),NA,20th century,"abstract, tribal with thick black lines creating several spaces and figures.",acrylic paint/paint (coating),Art Collection,Abstract (fine arts style); acrylic; paintings 1901-2000; geometric patterns,NA,EU1026,https://collections.ed.ac.uk/art/./record/20194?highlight=*:*,NA,abstract,NA
Mohamed Ounouh (b.1964),Untitled (red arrowhead),1991,20th century; 1990s,abstract tribal with forms in thick black lines and patches of colour against a pale background.,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000; geometric patterns,signed and dated bottom left hand corner,EU1036,https://collections.ed.ac.uk/art/./record/20204?highlight=*:*,NA,abstract,NA
Robert S. Crozier,Grey Landscape,1962,NA,"Landscape in grey tones with dark hills in the background, abstarct images in the middle ground and fields and a treestump in the foreground.",oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),Art Collection,Abstract (fine arts style); figures (representations); hills; paintings (visual works); oil paintings (visual works); paintings 1901-2000,NA,EU4795,https://collections.ed.ac.uk/art/./record/99797?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,1975,20th century; 1970s,abstract black wash,paper (fibre product); ink/coating (material)/materials (substances); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); paintings (visual works); watercolours (paintings),Signed and dated.,EU0171,https://collections.ed.ac.uk/art/./record/646?highlight=*:*,5834x78.1 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Red Spring,1958-1959,20th century; 1950s,"Mainly brick red with black, green shape extreme left.",canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),NA,EU0120,https://collections.ed.ac.uk/art/./record/421?highlight=*:*,80.7x139.7 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract (HS 49),NA,20th century,Abstract wash in brown and turquoise,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; watercolours (paintings); Abstract (fine arts style),Signed in monogram.,EU0149,https://collections.ed.ac.uk/art/./record/590?highlight=*:*,16.4x11.4 cm,NA,NA
Unknown,Grey Cover,NA,NA,NA,paper (fibre product); oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3188,https://collections.ed.ac.uk/art/./record/22633?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Abstract Brush Drawing,NA,20th century,Abstract wash in pale dusky pink,paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),Indistictly in monogram.,EU0152,https://collections.ed.ac.uk/art/./record/594?highlight=*:*,75.6x55.8 cm,NA,NA
