Artist,Title,Date,Period,Description,Material,Collection,Classification,Signature,Accession Number,link,Dimensions,Subject,Alternative Title
Joanna De Pear,Big Black Crow Valley,1988,20th century; 1980s,Abstract print of a field of crows and a tree in bright vibrant tropical colours.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,'3/10' - on bottom left.,EU4228,https://collections.ed.ac.uk/art/./record/99464?highlight=*:*,NA,NA,NA
Monika L I Uecker,Untitled - Children Playing,1963,20th century; 1960s,"Abstract black-and-white print of three children playing outside amoung miniature trees, farm animals and village, with a train on tracks wrapping along the left and back sides.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),NA,EU4209,https://collections.ed.ac.uk/art/./record/99445?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Roaming in the Gloaming,1972,20th century; 1970s,Abstract black wash with small red area.,ink/coating (material)/materials (substances); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); visual works (works); ink wash paintings; paintings (visual works),"Signed and dated,title inscribed on reverse.",EU0133,https://collections.ed.ac.uk/art/./record/588?highlight=*:*,16.5x23.5 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Grey Form,1976,20th century; 1970s,"Grey central wash, red writing bottom right.",ink/coating (material)/materials (substances); paper (fibre product); watercolour (paint)/paint (coating),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),"In monogram bottom right. Signed in monogram and inscribed '' For Hope, chistmas, 1976''",EU0134,https://collections.ed.ac.uk/art/./record/645?highlight=*:*,45.7x35.5 cm,NA,NA
Jean M. Marshall,Untitled - Circus Rider and Horse,1963,20th century; 1960s,Abstract print in with a female circus performer in blue riding a horse around the ring while a clown looks on from the left side.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4128,https://collections.ed.ac.uk/art/./record/99364?highlight=*:*,NA,NA,NA
Norman Thom,Lovers and birds,1963,20th century; 1960s,"Abstract print in browns, greens and red with a sun in the centre, a small church in the foreground, a bird on the bottom left and the shadow of a figure on the right.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4182,https://collections.ed.ac.uk/art/./record/99418?highlight=*:*,NA,NA,NA
Joanne Leonie Milne,"Untitled - Abstract Green, Purple and Brown Shapes",1989,20th century; 1980s,"An abstract print of green, purple and brown lines and shapes.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4152,https://collections.ed.ac.uk/art/./record/99388?highlight=*:*,NA,NA,NA
Gwendolene E Roger,Untitled - Girl with Crows,1961-1962,20th century; 1960s,Abstract print in black and white with accents in orange of a girl walking out of the darkness surounded by flying crows which swirl around her.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4163,https://collections.ed.ac.uk/art/./record/99399?highlight=*:*,NA,NA,NA
George H McIntosh,Untitled - Abstract Male,1960,20th century; 1960s,Print in dark moody colors of a roughly drawn man sitting in a chair.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000; portrait,NA,EU4160,https://collections.ed.ac.uk/art/./record/99396?highlight=*:*,NA,NA,NA
William Gillon,Untitled - Abstract Crowd Scene,1964-1965,20th century; 1960s,Abstract painting in dark gouache washes of a crowd of onlookers with a man bent over in the cenre.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4241,https://collections.ed.ac.uk/art/./record/99477?highlight=*:*,Measured without frame,NA,NA
James B. Thomson,Untitled - Greenhouse,1965-1966,20th century; 1960s,"Painting in browns, pinks, and purple gouche of the interior of a greenhouse with details in pen and ink, two figures in the centre look at plants, while another stands by the door.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pen and wash drawings; drawings 1901-2000; paintings (visual works); ink; paintings 1901-2000; watercolours (paintings); gouache,NA,EU4212,https://collections.ed.ac.uk/art/./record/99448?highlight=*:*,NA,NA,NA
James B. Thomson,Untitled - Figures and Bicycles in the City,1965-1966,20th century; 1960s,Chalk with details in crayon and gouache of a blue and yellow abstract city with large windows and flowers with figures with bicycles and umbrellas in the foreground.,chalk,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); cityscapes (representations); drawings (visual works); pastel; gouache,NA,EU4214,https://collections.ed.ac.uk/art/./record/99450?highlight=*:*,NA,NA,NA
Lindsay R S Gordon,Untitled - Abstract Stripes,1972,20th century; 1970s,"Drawing on graph paper in charcola, pastel, and ink or geometric lines and stripes of color of various widths.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); charcoal drawings; drawings 1901-2000; pastel; ink,NA,EU4187,https://collections.ed.ac.uk/art/./record/99423?highlight=*:*,NA,NA,NA
Iona Murray,Untitled - Three Horse Riders,1963,20th century; 1960s,Print in black and white on blue paper of three men riding horses down the city street bearing a flag while pedestrians look on.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4167,https://collections.ed.ac.uk/art/./record/99403?highlight=*:*,NA,NA,NA
Alastair Burns,Untitled - Abstract Bridge and Ballons,1968,20th century; 1960s,Abstract painting in gouache with a bridge in the bottom centre and ballons floating above.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); gouache; paintings 1901-2000,NA,EU4238,https://collections.ed.ac.uk/art/./record/99474?highlight=*:*,NA,NA,NA
Penelope Low,Maize III,1979,20th century; 1970s,Abstract print of linear vertical shapes of various widths on a green background.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4236,https://collections.ed.ac.uk/art/./record/99472?highlight=*:*,NA,NA,NA
John H McKerrell,Untitled - Front of boat,1969,20th century; 1960s,"Abstract watercolour painting in black, white, and brown gouache of the front of a boat.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); boats; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,The boat has a name painted on its side.,EU4120,https://collections.ed.ac.uk/art/./record/99356?highlight=*:*,NA,NA,NA
Lindsay R S Gordon,Untitled - Abstract Building,1972,20th century; 1970s,Abstract print in black and white on a grey ground of a building with geometrical forms.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); townscapes (representations); prints (visual works); print 1940-2000,NA,EU4186,https://collections.ed.ac.uk/art/./record/99422?highlight=*:*,NA,NA,NA
Leonore D Mackay,Untitled - Nude Male in the Forest,1963,20th century; 1960s,"Silkscreen print in browns, oranges, and green of a male nude sitting turned away surrounded by vegetation.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000; screen prints,NA,EU4159,https://collections.ed.ac.uk/art/./record/99395?highlight=*:*,NA,NA,NA
Norman Thom,Untitled - Two Birds,1963,20th century; 1960s,"Print in cream, grey, glue, black and green or two birds, one inside a cage and the other flying outside the window.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4181,https://collections.ed.ac.uk/art/./record/99417?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Forest Landscape,1965-1966,20th century; 1960s,An abstract drawing in pen and ink wash of a landscape with a forest in the middle and a road and fence in the foreground.,Pen and Wash/Drawing,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; Abstract (fine arts style); landscapes (representations),NA,EU4155,https://collections.ed.ac.uk/art/./record/99391?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Lencotricha,1993-1994,20th century; 1990s,"Quick sketch in gouache, oil pastel, charcoal, and graphite of a species of green cactus, viewed close up.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); mixed media works; drawings (visual works); charcoal drawings; pastel; pencil drawings; drawings 1901-2000; watercolours (paintings); botany,'WP90 34' - written under old accession number.,EU4221,https://collections.ed.ac.uk/art/./record/99457?highlight=*:*,NA,NA,NA
Jane Watt,Opuntia Alburdina (America),1993-1994,20th century; 1990s,"Quick sketch in oil pastel, charcoal, and graphite of a brown green cactus from above, casting shadows.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); pastel; pencil drawings; charcoal drawings; drawings 1901-2000; botany,'WP90 31' - written under old accession number.,EU4224,https://collections.ed.ac.uk/art/./record/99460?highlight=*:*,NA,NA,NA
James B. Thomson,Untitled - Jousting Match,1965-1966,20th century; 1960s,"Vibrant gouche painting in bright yellows, oranges, and reds of two figures on horses competing in a jousting match, while a third stands in the foreground looking at them.",gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4211,https://collections.ed.ac.uk/art/./record/99447?highlight=*:*,NA,NA,NA
Reinhard Behrens,Camp II,1982,20th century; 1980s,Black-and-white print of a pitched tent in the middle of the artic with a pair of skis,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4229,https://collections.ed.ac.uk/art/./record/99465?highlight=*:*,NA,NA,NA
Ann F Ward,Untitled - Abstract Still Life of Flowers and Fruit,1963,20th century; 1960s,Abstract print of a still life with a bowl of fruit and two vases with flower arrangments on a stripped tabel cloth.,Print,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; still lifes; Abstract (fine arts style),NA,EU4115,https://collections.ed.ac.uk/art/./record/99351?highlight=*:*,NA,NA,NA
Bridget Riley (b.1931),"Poster of Untitled, from the Rothko Portfolio (Schubert 19) 1973",1973,20th century; 1970s,poster showing abstract geometric print with exhibition details printed below,Print,Art Collection,Abstract (fine arts style); geometric patterns; posters,NA,EU4252,https://collections.ed.ac.uk/art/./record/99488?highlight=*:*,NA,NA,NA
F. Milner,Untitled - Nude Bathing Figures,1963,20th century; 1960s,Watercolour and gouache painting of the same scene of nude bathing figures reminiscent of Matisse drawn to different scales.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); paintings 1901-2000; gouache,NA,EU4129,https://collections.ed.ac.uk/art/./record/99365?highlight=*:*,NA,NA,NA
Jean M. Marshall,Untitled - Horses and Riders,1963,20th century; 1960s,Abstract print in black and white of four hourses and riders.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4127,https://collections.ed.ac.uk/art/./record/99363?highlight=*:*,"Measured with matte, but without frame, as it is not attached.",NA,NA
Jean M. Marshall,Untitled - Woodland Fantasy in Green,1963,20th century; 1960s,"Abstract print in green of girl, cat, and flying horse surrounded by giant flowers drawn in a sketchy manner.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4126,https://collections.ed.ac.uk/art/./record/99362?highlight=*:*,"Measured with matte, but without frame, as it is not attached.",NA,NA
Iona Murray,Untitled - Sprite in Long Gown,1963,20th century; 1960s,Watercolour in gouache and charcoal with a sprite or enchantress in the centre wearing long flowing pink robes.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); paintings 1901-2000; gouache,NA,EU4166,https://collections.ed.ac.uk/art/./record/99402?highlight=*:*,NA,NA,NA
Gwendolene E Roger,Untitled - Still Life With Flowers,1961-1962,20th century; 1960s,"Abstract print in brown, green, yellow, and purple of a still life of a bowl of flowers on a shelf.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4164,https://collections.ed.ac.uk/art/./record/99400?highlight=*:*,NA,NA,NA
Iona Murray,Untitled - Woman with Bun,1963,20th century; 1960s,"Print in red with accents of yellos, purple and back of a woman with a bun crossing a bridge with two figures in shadown in the background.",Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4165,https://collections.ed.ac.uk/art/./record/99401?highlight=*:*,NA,NA,NA
Andrew Binnie,"fig.1 Destination, fig 2 Time - 10.35 pm",1984,20th century; 1980s,Abstract black-and-white print of the inside of a train station with figures sitting on or waiting for trains.,Print,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000,NA,EU4230,https://collections.ed.ac.uk/art/./record/99466?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Landscape with Black,1965-1966,20th century; 1960s,"A watercolour painting with thinkly applied gouache of abstracted objects primarily using red, yellow, white and black.",gouache (paint)/watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4156,https://collections.ed.ac.uk/art/./record/99392?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Road,1965,20th century; 1960s,"Abstract drawing in oil pastel with an ink wash below of a road flanked by buildings on either side and five cars in blue, pinks, and greens.",Oil pastel,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); drawings 1901-2000; mixed media works; pastel; pen and wash drawings,NA,EU4157,https://collections.ed.ac.uk/art/./record/99393?highlight=*:*,NA,NA,NA
Arlene Isbister,Untitled - Abstract Collage with Spheres,1988-1990,20th century; 1980s,"Abstract mixed media collage with paper, charcoal, paint, and graphite on paper of an organic figure surrounded by spherical shapes.",mixed media/materials (substances),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); pencil drawings; charcoal drawings; paintings (visual works); mixed media works,"Inscription in bottom right on reverse, hard to decipher, but possibly its number",EU4235,https://collections.ed.ac.uk/art/./record/99471?highlight=*:*,NA,NA,NA
Paul Furneaux,Demon on Calton Hill II,NA,NA,"Stylised view of part of Edinburgh city centre seen from Calton Hill in tomato red, pale pink and burgundy with bright blue sky",paper (fibre product),Art Collection,Abstract (fine arts style); landscapes (representations); prints (visual works); print 1940-2000; prints 2001- present,NA,EU3986,https://collections.ed.ac.uk/art/./record/99226?highlight=*:*,NA,NA,NA
William Gillon,Untitled - City Scene at Night,1964-1965,20th century; 1960s,"Abstract painting arcylic, gouche, and chalk in purples and blues of a street residential street with a lamp post and car at night.",acrylic paint/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); gouache; chalk drawings; acrylic; paintings 1901-2000; street scenes,Reverse of painting has sketches on it.,EU4247,https://collections.ed.ac.uk/art/./record/99483?highlight=*:*,NA,NA,NA
William Gillon,Untitled - City Highrise,Feb 1962,20th century; 1960s,Abstract painting in gouache of a high rise building under construction.,gouache (paint)/watercolour (paint)/paint (coating),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); gouache; paintings 1901-2000,NA,EU4246,https://collections.ed.ac.uk/art/./record/99482?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Abstract with brightly block coloured geometric shapes set on a scumbled white/brown marble effect background,hardboard/wood board/plant material/materials (substances); oil paint (paint)/paint (coating),Art Collection,landscapes (representations); Abstract (fine arts style); geometric patterns; paintings (visual works); oil paintings (visual works); paintings 1901-2000,NA,EU4255,https://collections.ed.ac.uk/art/./record/99491?highlight=*:*,NA,NA,NA
Amy Marshall,"Unknown, abstract",2004,21st century; 2000s,"Abstract jagged black lines on a white background. Catriona White Drawing Prize, Edinburgh College of Art, 2004",Drawing; paper (fibre product),Art Collection; Edinburgh College of Art,Abstract (fine arts style); drawings (visual works); drawings 2001- present; paper,NA,EU4250,https://collections.ed.ac.uk/art/./record/99486?highlight=*:*,NA,NA,NA
Amy Marshall,"Unknown, abstract",2004,21st century; 2000s,"Abstract jagged black lines on a white background. Catriona White Drawing Prize, Edinburgh College of Art, 2004",Drawing; paper (fibre product),Art Collection; Edinburgh College of Art,Abstract (fine arts style); drawings (visual works); drawings 2001- present; paper,NA,EU4251,https://collections.ed.ac.uk/art/./record/99487?highlight=*:*,NA,NA,NA
"William Gear (b.1915, d.1997)",October Landscape,OCT 1950,NA,"Abstract expression of a landscape in black brown, green, yellow, orange and white patches.",oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection,Abstract (fine arts style); paintings (visual works); acrylic; paintings 1901-2000,NA,EU0859,https://collections.ed.ac.uk/art/./record/20031?highlight=*:*,NA,Landscapes; abstract,NA
Willie Rodger (b.1930),The Race,NA,NA,Abstract of a spoked wheel in orange yellow and pink sitting on a black/pink black/orange checked background,paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); geometric patterns; prints (visual works); linocuts (prints); print 1940-2000,NA,EU0855,https://collections.ed.ac.uk/art/./record/20027?highlight=*:*,NA,abstract,NA
James H. Fairgrieve,Salmon Abstract,NA,NA,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works); oil paintings (visual works),NA,EU3150,https://collections.ed.ac.uk/art/./record/22595?highlight=*:*,NA,NA,NA
Eileen E M Lawrence,Abstract,1967,20th century; 1960s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3169,https://collections.ed.ac.uk/art/./record/22614?highlight=*:*,NA,NA,NA
Gordon MacDonald,Abstract Composition in Yellow and Blue,Circa 1976,NA,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style); paintings (visual works); oil paintings (visual works),NA,EU3111,https://collections.ed.ac.uk/art/./record/22556?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Autumn,1972,20th century; 1970s,"Abstract dashes of colour, black, ochre and pink",oil paint (paint)/paint (coating); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),Signed and title inscribed on reverse.,EU0111,https://collections.ed.ac.uk/art/./record/498?highlight=*:*,28x21 cm,NA,NA
Arlene Isbister,Landscape,Circa 1988,20th century; 1980s; 13,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3159,https://collections.ed.ac.uk/art/./record/22604?highlight=*:*,NA,NA,NA
Brent D. Millar,Untitled,1972,20th century; 1970s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3127,https://collections.ed.ac.uk/art/./record/22572?highlight=*:*,NA,NA,NA
Andrew J. Neil,Composition with Red Sprouting Beans,Circa 1975,20th century; 1970s; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3198,https://collections.ed.ac.uk/art/./record/22643?highlight=*:*,NA,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Bull With Cows,NA,NA,Abstract blocks of black paint,oil paint (paint)/paint (coating); cardboard/paper (fibre product),Art Collection; Hope Scott Collection,paintings (visual works); oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),On reverse,EU0113,https://collections.ed.ac.uk/art/./record/593?highlight=*:*,17x23.5 cm,NA,NA
Willie Rodger (b.1930),Saturday,NA,NA,"Abstract with geometrical shapes in orange, ochre and pale blue with thick black outlines, suggesting a dressing corner of a room with screens and a mirror showing a female nude, the reflection of the woman behind the screens, her feet are visible underneath.",paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); figures (representations); prints (visual works); linocuts (prints); print 1940-2000; women (female humans); nudes (representations),"bottom includes title, proof and signature.",EU0834,https://collections.ed.ac.uk/art/./record/20006?highlight=*:*,52 x 33 cm,genre scene; abstract,NA
Duncan Shanks (Scottish b.1937),The Dam Burn,1982,20th century; 1980s,abstracted landscape depicting a dam in a river. Large brushstokes in a wide variety of colour convey a strong sensation.,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style); landscapes (representations),bottom right signature,EU0071,https://collections.ed.ac.uk/art/./record/649?highlight=*:*,150 x 180 cm,Landscapes,NA
"William Gear (b.1915, d.1997)",Red/Green Structure,1988,20th century; 1980s,abstract of bright red and dark green splashes of ink mingling together with a bit of white against a light green-yellow background.,paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); paper; prints (visual works); print 1940-2000,signed and dated lower right hand corner,EU1091,https://collections.ed.ac.uk/art/./record/20258?highlight=*:*,NA,abstract,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Figure Study in Red,1975,20th century; 1970s,Central figure very pale red wash,watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Hope Scott Collection,paintings 1901-2000; Abstract (fine arts style); watercolours (paintings),"Bottom right. And on reverse, inscribed '' To Hope(with much affection?) Love, William, 1975 ''",EU0130,https://collections.ed.ac.uk/art/./record/494?highlight=*:*,72.5x57.1 cm,NA,NA
Willie Rodger (b.1930),Phalanx,1967,20th century; 1960s,Abstract of black and white columns on green background,paper (fibre product); ink/coating (material)/materials (substances),Art Collection,Abstract (fine arts style); prints (visual works); linocuts (prints); print 1940-2000,"lower left hand corner inscription and lower righthand corner signature and date, both below the actual image.",EU0234,https://collections.ed.ac.uk/art/./record/600?highlight=*:*,63.4 x 63 cm,NA,NA
"William Johnstone (b.1897, d.1981) VIAF LC",Composition,NA,20th century,"Abstract shapes in black, rust, teal, lilac and ochre",canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),Art Collection; Hope Scott Collection,oil paintings (visual works); paintings 1901-2000; Abstract (fine arts style),On reverse.,EU0117,https://collections.ed.ac.uk/art/./record/371?highlight=*:*,70x90.2 cm,NA,NA
James B. Thomson,Untitled - Abstract Figures and Shapes,1965-1966,20th century; 1960s,"Painting with gouche, acylic and possilby oil of an abstract scene with figures in the foreground and various organic shapes in beige, black and blue.",gouache (paint)/watercolour (paint)/paint (coating); paper (fibre product),Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); acrylic; oil paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4213,https://collections.ed.ac.uk/art/./record/99449?highlight=*:*,NA,NA,NA
